Domain	# of ligands	Comma-separated ligands
P02768_PF00273_30_202	22	198,8ZR,9AZ,9KL,ACD,BLA,DAO,DKA,EHF,F15,FUA,GOQ,IQX,OCA,OLA,OQ5,PJ2,PLM,R75,SAL,STE,UAY
P02768_PF00273_414_592	30	1FL,4EB,6A4,9DN,9DS,9KL,9NF,9NV,9SC,ACD,C1F,C7K,CLT,DAO,DKA,DZP,F15,IBP,IO3,IOS,JGE,OCA,OLA,OPB,P8S,PFL,PLM,R75,SAS,T44
P02774_PF00273_27_199	1	VDY
P03372_PF00104_332_531	248	0CZ,0D1,0L8,15Q,17M,1GJ,1GM,1GQ,1GR,1GS,1GT,1GU,1GV,1HP,244,27E,27G,27H,27J,27K,27L,27M,27N,29S,2OH,369,36J,36M,458,459,4OH,4Q7,4Q9,53Q,5C4,5C6,5C7,5C8,5C9,5CC,5CE,5CJ,5CK,5CQ,5DG,5DH,5DJ,5ES,5ET,5EU,5FS,5FT,5FV,5FY,5G2,5G3,5G4,5G5,5G6,5G7,5HW,5HX,5HZ,5J0,5J1,5J2,5JX,5JY,5K0,5K1,5K2,5K4,5K5,5K7,5K8,5KA,5KB,5KD,5KE,5KF,5KG,5OR,5OS,5P1,689,6WL,6WM,6WN,6WP,6WQ,6WR,6WS,6WT,6WU,6WV,6WW,73I,77I,77W,782,7AI,7E1,7E3,7EB,7EC,7ED,7EE,7EF,7EG,7EH,7EI,7EL,7EM,7EN,7EO,7EQ,7ER,7ES,7ET,7EV,7FD,7FG,7FJ,7FL,7FO,7FP,7FQ,7FR,7FS,7FZ,7G0,7G1,7G2,7G3,7G5,7I0,7I5,7I9,7J9,7JY,7K6,7KL,7M1,7M4,7M7,7OI,7OR,7Q5,7QN,85M,85Z,86V,86Y,9XY,A48,AEJ,AIH,AIJ,AIT,AIU,C3D,C6V,CM3,CM4,CUE,DC8,DES,DRQ,E4D,EED,EES,EEU,EI1,ESE,ESL,EST,ETC,EZT,F3D,FNJ,FSV,FYS,G8Y,G91,G9J,GEN,GQD,GW5,H8W,HZ3,I0G,I0V,IOG,IOK,J2Z,J3Z,JJ3,KE9,KN0,KN1,KN2,KN3,L4G,L5B,L84,LLB,LLC,LRQ,LVH,ND1,OB1,OB2,OB3,OB4,OB5,OB6,OB7,OB8,OB9,OBB,OBC,OBH,OBM,OBT,ODE,ODY,OFB,OGJ,OHT,PIQ,Q97,QHG,QNE,QNH,QNK,QSO,RAL,STL,T3O,U6D,V9J,VQI,WST,XBR,XDH,ZER,ZNM,ZTW
P03951_PF00089_388_618	79	0TU,1T5,1T6,339,367,368,39D,39F,3VM,3Y3,3Y4,3Y5,3YU,412,421,427,4CE,4D5,4GR,5JM,5SS,5ST,5SU,624,62A,632,682,709,716,737,7DK,7DL,7DS,7P0,995,9EY,9F1,9F7,9FA,9FD,9ZM,BEN,BUK,BUV,BUY,BVJ,BVM,E6U,EEJ,G0R,HDB,IXA,J1J,J4X,J7B,MVN,NR7,NRJ,NW2,NW5,NWE,O58,O61,OTJ,OTM,OTW,QEV,QEY,QGS,QLD,QLJ,QLM,QLS,R2Y,R3A,R9B,SWP,XJ8,YXG
P03952_PF00089_391_621	4	7SD,BEN,GBT,MU8
P03956_PF00413_108_261	5	0ED,CGS,PLH,RO4,RS2
P04040_PF00199_28_411	1	NDP
P04049_PF07714_349_606	1	SM5
P04062_PF02055_117_466	15	3RI,79B,7E4,AMF,BTB,HK2,HKW,JXA,LGS,MT5,NBV,NND,P8Y,P9V,RJR
P04070_PF00089_212_445	1	0G6
P04150_PF00104_549_741	22	29M,486,866,8W5,8W8,B9Q,B9T,B9W,CV7,DAY,DEX,E7T,GW6,HCY,HJ4,JZN,JZR,JZS,LSJ,MOF,NN7,R8C
P04181_PF00202_50_436	12	7QP,9QJ,GAB,GBC,IF1,MQ4,O78,PFM,QRM,Y7S,Y8P,YCD
P04278_PF00054_75_205	9	AOM,AON,DHT,ESM,EST,NOG,P57,P5G,QA1
P04626_PF07714_720_976	3	03P,03Q,VOY
P04629_PF07714_510_781	42	31V,31W,31X,31Y,4EK,4F6,69C,6K0,6K1,6K2,6K4,6UE,6UF,6UG,6UH,6UJ,6UK,6UM,7HF,AQ6,B9C,FKY,FQG,FQJ,FQM,GO7,GOD,GXA,KWY,L0M,L0P,OO7,OOD,OOJ,OOM,OOY,OQJ,OQM,OQS,RCH,V4Z,YMX
P04637_PF00870_99_289	39	92O,9GH,9GK,9GN,9GQ,9GT,9GW,9GZ,9H2,9H5,EXN,EXQ,EY2,EYB,EYE,FY8,GOH,KMN,LEB,LEK,NXG,O80,O82,O83,P51,P83,P84,P86,P96,QC5,QN8,QNN,RZH,UFV,UL7,X0U,X0V,X0W,Y0V
P04746_PF00128_46_348	14	0XR,5J7,5QP,6SA,AAO,ACI,ARE,HMC,HSD,LAG,LM2,MYC,QV4,ZXU
P04798_PF00067_40_501	6	AQ4,BHF,HJJ,KUV,Q4M,Q4P
P04818_PF00303_31_313	14	2XB,7Z9,9MZ,D16,D96,FFO,KI3,LYA,MTX,OE7,OEJ,OF7,UFP,UMP
P05089_PF00491_6_305	19	0IZ,1EC,4U7,EXY,QR1,QR4,QRA,QRJ,VUS,VUV,VUY,VV1,VV4,X7A,X8A,XC3,XFG,XFP,Z70
P05090_PF00061_43_184	1	STR
P05093_PF00067_28_493	13	3NQ,3NR,3QZ,6D7,6D8,7D6,8QD,AER,LZZ,PLO,STR,TOK,UDJ
P05108_PF00067_52_511	4	2DC,CLR,HC9,HCD
P05121_PF00079_33_402	2	GDE,TB7
P05164_PF03098_173_718	2	XS1,ZS0
P05177_PF00067_42_505	1	BHF
P05181_PF00067_33_489	5	9PL,LC4,LZ1,OID,OIO
P05230_PF00167_25_148	1	NTS
P05413_PF00061_6_132	8	2AN,5M8,DAO,DKA,ELA,OLA,PLM,STE
P05543_PF00079_44_412	3	FUN,ID8,T44
P05771_PF00069_342_600	1	PDS
P05981_PF00089_163_400	4	132,50K,CR4,CR9
P06126_PF16497_1_197	10	3XU,42H,6F8,FOF,JH0,OLA,PAM,SLF,WU7,WUA
P06132_PF01208_14_360	2	1CP,CP3
P06213_PF07714_1023_1290	10	351,5JA,60O,ACP,ANP,ATP,GS2,GS3,IR1,S91
P06239_PF07714_245_494	33	1N8,1N9,242,547,5LK,5PB,7KW,925,979,9NH,AM0,AM5,AM6,AM9,ANP,KBM,KSC,KSE,KSF,KSH,KSK,KSL,KSM,KSR,KSS,KZI,KZL,KZM,LHL,ODJ,PP2,STI,STU
P06241_PF07714_271_520	1	STU
P06276_PF00135_30_550	44	15F,1PG,3F9,40V,4OJ,5HB,5HF,5HH,6QS,6YC,8U2,92H,9A5,BCH,BEZ,BUW,BY2,CWQ,DME,FP1,GZ5,H19,HUK,HUN,HUQ,HUT,HUZ,JU5,JUB,KJT,L3H,MF5,MXB,MXK,O0Z,PRM,QRH,RNZ,S6Q,S78,S8K,TFX,THA,TKN
P06401_PF00104_704_891	16	2S0,30X,486,A2K,AS0,GKK,MOF,NDR,NOG,OR8,ORB,ORC,R18,STR,T98,WOW
P06493_PF00069_4_287	6	1QK,4SP,F9Z,FB8,FC8,LZ9
P06730_PF01652_38_197	8	6LI,HLI,M7G,MGO,MGQ,MGT,MGV,Z5D
P06744_PF00342_54_546	1	O1B
P06746_PF14792_149_262	2	DTP,TTP
P06858_PF00151_17_338	1	M3D
P07101_PF00351_195_525	1	LDP
P07108_PF00887_3_78	1	MYA
P07148_PF14651_1_127	4	2VN,OLA,PLM,TCI
P07195_PF00056_22_161	2	NAD,NAI
P07306_PF00059_171_279	1	ZPF
P07327_PF00107_203_339	1	NAD
P07327_PF08240_34_161	1	CCB
P07332_PF07714_561_814	3	9FC,GUI,STU
P07333_PF07714_582_910	8	622,64M,A7O,LC0,M9T,P31,STI,Z6V
P07360_PF00061_48_186	1	DAO
P07437_PF00091_3_212	2	G2P,GDP
P07477_PF00089_24_239	1	0G6
P07686_PF00728_200_517	3	CP6,GDL,IFG
P07711_PF00112_114_332	22	424,5T9,7KH,7KN,BD3,C3E,C7Q,C7T,DJT,GH4,I0X,I0Y,NOW,NSY,NSZ,OPT,V65,XU3,XU5,YJ2,YJ8,YJ9
P07741_PF00156_28_173	3	5GP,AMP,IMP
P07814_PF00587_1108_1287	11	0W4,0X7,0YI,1AI,1FI,8X1,91Y,ADN,ANP,HFG,MU5
P07858_PF00112_80_329	4	APD,C1G,EP0,HNQ
P07900_PF02518_40_194	247	05S,06H,06J,06T,0OY,0TM,1RC,2A7,2A9,2AE,2D3,2D4,2D7,2D9,2DD,2DL,2E1,2EC,2EQ,2FY,2GA,2GG,2GJ,2K4,2KL,2KU,2LC,2N6,2Q8,2Q9,2QA,2R6,37D,3JC,3RP,3RQ,3RR,40W,40X,40Y,40Z,42C,43P,4BC,4BH,4CD,4EO,4EP,4EQ,4ER,4ES,4ET,4EU,4EV,50Q,592,6DL,6FF,6FJ,6G7,6GC,6GV,6GW,6LV,6QM,6TN,70K,70L,70M,70N,70O,70Z,72K,72Y,73J,73S,73Y,73Z,74E,7F9,7FX,819,8CF,8CO,8CR,8CU,8DU,94M,990,99A,99B,9EK,9J0,9QY,9R8,9RZ,9UN,9ZC,A12,A51,A56,A91,A94,AB4,ACP,ADP,AGS,AN2,ANP,APC,ATP,B2K,B2L,B2T,B2X,B5Q,BA8,BAW,BD0,BSM,BXZ,BZ8,C0P,C0Y,C3Z,C4K,C4N,C4T,C8W,CMP,CT5,CXZ,D4W,D57,DZ8,E0G,EFT,EFU,EOR,ET3,FGH,FJ1,FJ2,FJ3,FJ4,FJ5,FJ6,FJS,FU3,FU5,FU7,G3R,G5E,GDM,H05,H0T,H64,H71,H9F,HAJ,HH6,IEE,IK9,IQ5,JR9,JX1,JZB,JZC,KFY,KOS,L81,MEX,MEY,MO8,MOJ,MT0,N5A,N5O,NEC,ONG,ONJ,P4A,P54,PA7,PFT,PU0,PU1,PU2,PU3,PU4,PU5,PU6,PU7,PU8,PU9,PUX,PUZ,PY9,PYU,Q2A,Q2D,Q2J,RDC,RL1,RL3,S36,S46,SD1,SNX,T5M,T62,TQL,TUH,TV2,VHA,VHC,VHD,VHE,VJ6,VXX,W2D,WHA,WOE,X29,XDK,XJG,XJX,XKL,XQ0,XQI,XQK,YI0,YI5,YJW,YJX,YK9,YKB,YKC,YKE,YKI,YKJ,YUK,Z64,ZZ2,ZZ4,ZZ5,ZZ6
P07902_PF01087_22_196	1	H2U
P07948_PF07714_247_497	2	8H0,STU
P07949_PF07714_724_1005	17	7QU,ACK,ADN,AMP,DTQ,H6W,H72,HJ0,PP1,Q4J,Q6G,QX1,X2K,X2L,X2M,XIN,ZD6
P08069_PF07714_999_1266	19	01P,575,66A,741,8LN,ACP,ANP,BMI,CCX,D94,DYK,EBI,GD5,LGV,LGW,LGX,MQY,OZN,PDR
P08134_PF00071_7_180	3	GDP,GNP,GSP
P08185_PF00079_41_404	1	HCY
P08235_PF00104_758_946	22	1CA,60R,6Q0,6QE,6QG,AS4,C0R,CV7,DEX,E6R,ECV,EWN,EY8,EYN,HFN,LD1,PDN,SNL,STR,WFF,WFG,YNU
P08238_PF02518_35_189	8	7PP,83S,871,874,ATP,KFY,KU3,PU3
P08240_PF00448_418_637	1	GNP
P08246_PF00089_30_242	10	151,2HY,IUL,IUY,JJD,JJS,JJV,SEI,VBM,WQQ
P08254_PF00413_108_264	24	0DS,111,8MI,ATT,BBH,DPS,FA4,HQQ,IN7,JT5,JT6,L04,MBS,MM3,MSB,N25,NGH,OHL,S27,S80,SPC,SPI,TR1,Z79
P08263_PF02798_5_77	2	BWS,GSN
P08311_PF00089_21_238	4	0H8,1ZG,KTP,OHH
P08319_PF00107_208_340	1	NAD
P08397_PF01379_21_233	3	7J8,DPM,FWL
P08519_PF00051_1282_1359	1	HKY
P08519_PF00051_1624_1701	3	5C3,BV5,BV7
P08581_PF07714_1078_1337	73	03X,044,0J3,0J8,0JJ,0JK,0JL,1FN,1JC,1RU,319,320,353,3E8,3EH,3QT,44X,46G,4K0,5B4,5QQ,5SZ,5T1,5TF,62E,63B,63K,66L,6TD,6XE,6XP,75H,84M,84P,84S,88Z,AM7,AM8,ATP,B2D,CKK,DF6,DFQ,DWF,F47,IHX,KRW,KSA,L1X,L5G,L8V,LKG,M61,M97,MT3,MT4,PFY,Q6W,SV5,SV8,SVH,SVK,SVT,SW5,SW8,SWB,SWK,SWN,SX8,V0L,VGH,W9Z,ZZY
P08631_PF07714_262_511	23	1BM,ANP,B43,KS1,L1G,L2G,L3G,OOO,OOQ,OOS,OOU,OOV,PP1,QUE,SK8,VRZ,VS0,VSA,VSB,VSE,VSF,VSG,VSH
P08684_PF00067_38_493	54	08J,08Y,1RD,2QH,6AW,7AW,80K,8AW,D0R,D7J,D7Y,DEV,ERY,FZV,G0D,G0V,G0Y,G1D,G1J,J9K,KLN,MWS,MWV,MWY,MYT,PK9,PKT,PMF,QDJ,QDP,QDV,QDY,QE4,QEA,QEP,QES,RIT,TPF,X5Y,X6J,X6S,X6V,X71,X74,X7D,X7J,X7M,X7P,X8P,X8S,Y83,YNV,Z8Z,Z9Z
P08686_PF00067_27_480	1	STR
P08709_PF00089_213_447	83	03R,0G7,0GE,0GJ,0Z6,0Z7,1GE,1GG,1NJ,1NK,1NL,1OJ,1OK,1T7,24X,2KE,2KF,346,359,380,3BP,3CB,3Z7,3Z8,3Z9,3ZB,413,4JY,4K1,4T0,4T1,567,5PI,67O,6NH,70A,70C,70D,771,7KQ,7KR,7KS,7LR,7LX,7NH,7XD,7XJ,7XM,7Y7,7YA,7YJ,7YM,7YP,7Z1,7Z4,7Z7,7ZA,7ZD,7ZG,7ZJ,7ZM,7ZP,7ZY,82J,905,9RP,9RS,9RV,9RY,9S1,ABN,AMC,AX7,BEN,C1B,CR9,GIL,N1H,P5B,PBZ,PI0,PSM,PY3
P08754_PF00503_13_343	1	GDP
P08922_PF07714_1945_2215	2	5P8,VGH
P09211_PF02798_4_75	11	0HG,0HH,6SG,GF5,GPR,GSN,GTD,GTX,LEE,LZ6,VWW
P09237_PF00413_103_259	6	MDW,RRS,RSS,SRS,TQI,TQJ
P09238_PF00413_107_263	1	NGH
P09382_PF00337_5_134	1	MQT
P09417_PF00106_11_198	1	NAD
P09455_PF00061_6_134	6	8CB,HVD,HVJ,PLM,RNE,RTL
P09467_PF00316_12_199	36	2C1,2T0,2T4,2T5,2T6,870,93V,947,94D,94G,94S,94V,94Y,95D,95G,95J,95M,95P,95S,95V,95Y,967,96A,96D,96J,A37,A74,AMP,AMZ,EW0,GJO,RO3,RO5,RO8,ROK,YCU
P09601_PF01126_11_216	9	1FH,2FH,3TG,AD8,B5B,BLA,Q80,Q86,VER
P09622_PF07992_42_370	4	BTB,FAD,NAD,NAI
P09917_PF00305_216_662	1	30Z
P09958_PF00082_144_427	6	00S,UYN,UYQ,UYT,UYW,XTA
P09960_PF01433_233_448	48	00G,11S,11X,14O,1V6,22F,24P,25P,27P,28P,28T,3IP,492,4BG,4BO,4BQ,4BS,4BU,52D,58Z,5H1,798,80A,80G,812,848,8KW,92G,A4Z,B3N,BES,BGK,BGW,BIR,DJ3,DP8,HA2,KEL,LNJ,PH0,RE2,RZB,RZE,RZK,RZN,SHH,STL,X8Z
P09960_PF17900_18_202	1	692
P0C024_PF00293_38_166	35	B0V,GZY,H04,H0A,H0G,H0J,H0M,H0P,H0S,H17,H1A,H1G,H1J,H1P,H1Y,H2D,H2G,H2J,H2M,H2Y,H31,H3A,H3D,H3G,H3J,H3V,H47,H4A,H4D,H4G,H4Y,H54,H5A,H5D,H5G
P0C1S8_PF00069_212_486	1	8X7
P0CG30_PF02798_5_75	1	GGC
P0DMM9_PF00685_38_288	2	A3P,LDP
P0DP23_PF13499_10_74	3	657,AJV,AJY
P0DPD7_PF08241_63_173	1	SAH
P0DUB6_PF00128_52_348	1	HMC
P10114_PF00071_5_166	2	GDP,GTP
P10153_PF00074_33_158	4	A3P,ADP,ATP,B4P
P10275_PF00104_690_881	31	056,17H,198,2MI,3B6,51Y,77T,77U,97A,9FG,B5R,B66,B67,B68,BHM,CA4,DHT,ENM,FHM,HFT,JAD,LGD,PK0,PK1,R18,RLJ,RLL,TES,YLO,YLQ,ZK5
P10276_PF00104_224_401	6	6Q7,BMS,EQN,EQO,LUF,REA
P10301_PF00071_31_192	1	GDP
P10599_PF00085_2_103	2	BEZ,P6G
P10619_PF00450_39_477	2	6KZ,7UZ
P10632_PF00067_30_487	5	225,9CR,MTK,PLM,TDZ
P10635_PF00067_34_494	11	2CV,AJN,CPS,P6M,P6U,PN0,QDN,QI9,RTZ,SI5,SI6
P10644_PF00027_273_360	2	CMP,PCG
P10721_PF07714_589_924	3	B49,JWY,P31
P10826_PF00104_224_401	6	1NY,754,JYH,JYI,REA,TTB
P10827_PF00104_204_379	3	4HY,B72,IH5
P10828_PF00104_265_445	9	442,4HY,8HO,B72,G24,IH5,OEF,PFA,T44
P11172_PF00156_42_167	1	OMP
P11172_PF00215_252_466	20	16B,5BU,5FU,5IU,6AU,6CN,BMP,CNU,JW5,NUP,OMP,PFU,S5P,TKW,U1P,U5P,UEP,UFT,UMP,XMP
P11233_PF00071_16_177	7	GDP,GNP,NL7,NLJ,NLM,NLS,NLV
P11234_PF00071_16_178	1	GNP
P11309_PF00069_38_290	151	01I,0F5,0F9,0FK,0FN,0FO,0FR,0FS,1DR,1N6,1OA,1OB,1OC,1RO,26K,26L,2D2,2HV,2HW,2HX,38W,3NG,3O7,3O8,3OA,3OK,3RA,3T9,3U1,3U5,3U6,3UR,3YR,4YK,55E,596,5E5,5E6,5H7,5QO,676,6CB,6CD,6S3,6SD,6SF,6SL,6SN,6SO,6YN,79O,7AJ,7AU,7CP,7GK,7LI,7LK,8ET,8GR,8GU,8GX,8M8,8MB,8MK,8MN,8MQ,8MW,8MZ,8N2,8N5,8NZ,8O8,8UB,96Y,971,985,9G5,ADN,AMP,ANP,BI1,C2J,C4E,DW2,DWC,E2C,E2F,E2L,E2O,E2R,E2U,E2X,E46,HUL,HY7,IYZ,J19,JKW,JM1,JN5,JYG,KUV,KUY,L20,LI6,LI7,LWG,LXG,LY2,LY4,LYG,MB9,ME3,MIX,MVG,MYC,MYF,MYU,NM8,O97,OBY,OCJ,OD1,OD4,OWB,Q17,Q18,QUE,R9P,ROY,RPS,RTX,RTZ,RUI,SK8,STU,UGX,UNE,UNJ,UNM,UNQ,VRV,VX1,VX2,VX3,WFY,XIY,XIZ,XJ0,XJ1,Z20
P11362_PF07714_478_754	41	07J,0S7,0S8,0S9,2K5,2K7,2M2,38O,3RH,3ZC,4UT,4Y0,5SF,66T,960,9ES,9K5,9K8,ACP,AXU,C4F,GQL,JVT,LEV,LWJ,MK9,O1Y,O21,PD1,SU1,SU2,TZ0,VM1,WP1,XL6,XOJ,YY4,YY5,YY6,YY7,YY9
P11388_PF02518_76_225	2	ADP,ANP
P11413_PF00479_35_210	1	NAP
P11413_PF02781_212_509	1	NAP
P11473_PF00104_216_406	39	0CO,0VQ,23R,2KB,2MV,3AJ,3EV,41V,6DS,8VM,90L,90O,C33,C3O,CA9,COV,DS2,DS3,DS4,DS5,DS6,EB1,ED9,EIM,FMV,KH1,MC9,MCZ,MVD,O1C,OCC,TEJ,TEY,TFY,TX5,VDX,VHW,ZNE,ZYD
P11474_PF00104_224_404	3	047,5FB,HVO
P11509_PF00067_34_491	10	8MO,9PL,COU,D1G,D2G,D3G,D4G,N4E,NCT,SNE
P11511_PF00067_46_488	5	0XJ,ASD,EXM,G29,TES
P11586_PF02882_128_295	2	NAP,NDP
P11597_PF02886_243_480	3	2OB,DLP,PCW
P11712_PF00067_30_487	8	2QJ,6RJ,6YF,9W6,FLP,LSN,SWF,XI1
P11766_PF00107_202_334	2	APR,NAD
P12104_PF00061_4_132	3	11D,KTR,OLA
P12268_PF00478_29_504	9	5GP,ATP,CPR,GDP,GTP,IMP,MYD,NAD,RVP
P12268_PF00571_107_166	1	GTP
P12271_PF00650_141_291	1	RET
P12277_PF00217_153_367	1	ADP
P12544_PF00089_29_254	1	0G6
P12883_PF00063_87_766	1	ANP
P12931_PF00017_151_233	11	219,256,262,299,300,787,790,791,I59,PSN,PTR
P12931_PF07714_270_519	12	0J9,24A,6H3,ANP,DB8,H8H,HET,HVY,NBS,P01,S03,UCW
P13051_PF03167_140_302	6	302,3FI,3FL,FCF,FCK,QU4
P13497_PF01400_128_321	5	E7D,E8J,E8M,E8P,E8S
P13569_PF00005_441_576	1	ATP
P13591_PF00041_508_598	1	BTB
P13631_PF00104_226_403	9	156,184,254,394,564,961,9CR,E9T,REA
P13716_PF00490_5_326	2	PB1,PBG
P13804_PF00766_211_291	1	FAD
P13995_PF02882_158_332	3	ADP,BQF,NAD
P14061_PF00106_4_201	6	E2B,EQI,EST,HYC,NAD,NAP
P14174_PF01187_2_115	42	0FI,0IN,1Q1,1Q2,1X2,1ZW,35J,3TW,3TX,428,47X,4MT,65V,6B9,6DQ,6H1,6H2,88X,956,9BE,C9G,C9J,C9Y,EN1,ENO,EV7,EWD,EWG,EWJ,HBX,HDI,LE2,NVS,OX3,OX4,OX5,PMS,RW1,XV1,YZ9,ZEC,ZIN
P14207_PF03024_30_205	4	04J,FOL,LYA,MTX
P14210_PF00051_128_206	6	6O5,CXS,EP1,MPO,NHE,PIN
P14324_PF00348_108_374	37	11P,1MV,1WO,1XH,39L,3N1,3N2,3N3,3N4,3N5,4GA,59Y,5A7,5B9,5BK,5BL,BFQ,FPP,GO0,GO1,JD1,JD5,M0N,MS0,N1Z,NI9,RIS,RSX,T93,UNR,UNV,WC1,YF7,YL2,YL6,YS1,YS4
P14555_PF00068_22_130	10	6IN,8IN,BHP,BR4,GEL,I3N,INB,OAP,U8D,X28
P14618_PF00224_42_395	3	ADP,ATP,LZ2
P14625_PF02518_96_255	1	2LC
P14920_PF01266_2_329	14	2LD,31R,31T,3LD,4P5,4WL,BE2,BEZ,FAD,G3E,IM3,SE2,SE5,SS8
P15056_PF07714_457_714	64	032,0JA,0LI,0NF,0T2,0WP,10Z,1OO,1SU,1SW,215,29L,2VX,324,325,3K3,4EF,4Z5,54J,55J,5I4,5XJ,6DC,6N9,734,831,8EN,904,92D,92J,ACP,AGS,ANP,B0R,B1E,B96,BAX,BR2,CQE,DFS,E7M,EU4,FNI,FOI,FP3,FP4,K7S,K81,KZP,L1E,P02,P06,QH1,QOP,RI8,RI9,SM5,SM6,SM7,T1Q,TV4,V1Y,V5J,VQP
P15085_PF00246_128_406	6	LA9,LFF,O2S,O2V,PAY,TJE
P15090_PF00061_6_132	33	57P,57Q,5M7,5M8,65Y,65Z,75D,76D,8CA,8JL,8JO,8JR,8JX,8K0,B1V,CRZ,EH6,EHC,EHO,EHR,EHU,F8A,FBZ,FLU,I4A,IBP,IZP,L19,L96,PLM,T4B,ZGB,ZGC
P15104_PF00120_110_361	1	ADP
P15121_PF00248_15_294	54	1WW,1WX,2CL,2HZ,2W8,2W9,2WB,2WQ,2WR,2X9,2YZ,30L,37V,388,393,3E2,3NA,3T4,3UH,47D,48I,4G7,4O8,4O9,53N,62P,64I,BFI,BTO,DOY,EPR,F49,FID,FIR,I98,ID5,ITA,ITB,LDT,LIT,LPA,M15,NAP,NDP,OHP,PAC,Q74,SBI,SFI,SUZ,TOL,W8X,ZES,ZST
P15144_PF01433_316_543	1	BES
P15153_PF00071_5_178	3	GDP,GSP,GTP
P15291_PF13733_130_263	1	UDP
P15328_PF03024_36_211	2	83A,FOL
P15428_PF00106_6_199	1	NAD
P15531_PF00334_5_139	2	A7Z,ADP
P15538_PF00067_42_498	3	CHD,JD7,MYT
P15559_PF02525_4_212	1	FAD
P15735_PF00069_24_291	1	B49
P15813_PF16497_1_198	8	4GH,AGH,D12,DB3,GCY,JLS,LSC,UND
P16083_PF02525_4_212	2	FAD,FMN
P16118_PF01591_30_251	1	AGS
P16152_PF00106_6_152	2	NAP,NDP
P16233_PF00151_17_352	2	MUP,PLC
P16278_PF01301_40_357	4	6DJ,6GJ,N8V,NDJ
P16435_PF00175_530_641	1	NAP
P16435_PF00258_82_219	1	FMN
P16444_PF01244_25_352	1	CIL
P16871_PF00041_130_218	1	NGA
P17081_PF00071_11_184	1	GNP
P17174_PF00155_31_405	1	EE6
P17213_PF02886_249_486	1	PC1
P17252_PF00069_339_597	2	3KZ,LW4
P17516_PF00248_18_301	1	NAP
P17540_PF00217_187_401	1	ADP
P17612_PF00069_44_298	28	1SB,2SB,35R,3SB,495,4L7,4SB,4W1,504,796,8BQ,A03,ATP,E3Z,EE4,IQB,J4B,L9L,L9M,L9N,NVV,NVX,S3N,S69,SKE,VX6,XFE,YTP
P17643_PF00264_182_417	3	0TR,MMS,URS
P17752_PF00351_106_436	7	6H5,6Z4,7H5,HBI,LX0,ML0,ML4
P17812_PF06418_2_272	5	ANP,ATP,CTP,ZFY,ZG4
P17858_PF00365_17_324	1	ADP
P17900_PF02221_33_190	7	3PH,CH5,DAO,LP3,LPE,OLA,PFS
P17931_PF00337_117_247	6	BEK,DQT,KOZ,KPB,N62,N6B
P17980_PF00004_223_356	1	ADP
P18031_PF00102_40_276	88	024,073,0R0,1C2,213,214,234,335,35B,410,429,4B3,509,512,521,527,588,598,694,6SU,73U,761,794,825,878,8H8,902,910,964,968,982,989,BEN,C0A,COL,D0P,DBD,DFM,DSJ,F16,F20,F32,FNP,GQP,INX,IX1,IZ3,IZ4,IZ5,IZD,IZE,IZF,JFP,JFV,JFY,JGG,JK7,JKA,JL1,JLV,JMD,JNM,JNP,JNY,JO7,JOD,JOM,JOP,JOV,JQ4,LO1,MPV,OAI,OBA,OPA,OTA,P27,P90,PIC,PTR,SK2,T1D,T2D,TPI,UN3,UN5,UN6,UN7
P18085_PF00025_5_177	1	GDP
P18669_PF00300_6_138	7	8KX,8LF,9HU,9JF,AW6,AZN,HKB
P19099_PF00067_42_499	6	0T3,1CA,O4T,O4W,QHC,YSY
P19113_PF00282_36_414	1	PVH
P19367_PF03727_673_907	1	ADP
P19525_PF00069_267_537	2	ADP,ANP
P19623_PF01564_76_261	3	DSH,MTA,S4M
P19652_PF00061_40_180	4	DP0,TP0,UCN,Z80
P19784_PF00069_40_325	14	041,3NG,42J,4B0,7FC,9YE,CCK,E3U,FXB,GDW,JL2,N4N,N5Q,N92
P19793_PF00104_257_442	55	1O8,21P,29V,2E3,2QO,2VP,2VR,2VZ,2W0,3RB,3SV,3SW,3T2,3TN,4CU,4TN,4XW,5LO,5TN,754,7A4,7BE,7O0,9CR,9HF,9RA,BGV,BM6,CHZ,E80,E8L,E8O,F15,HXA,I5W,J57,K08,K09,L79,LFZ,LG2,LX8,MLO,P26,PLM,R4M,REA,RHN,SJZ,T2K,T72,T9T,TBY,WY5,WZ6
P19801_PF01179_300_708	1	PNT
P20151_PF00089_25_253	2	0G6,BEN
P20231_PF00089_31_267	10	0GX,270,2FF,5AM,APA,C1R,C3A,C4A,P43,PM2
P20337_PF00071_24_185	1	GDP
P20338_PF00071_15_176	3	GDP,GNP,GTP
P20339_PF00071_22_183	3	GDP,GNP,GTP
P20340_PF00071_15_175	3	GDP,GNP,GTP
P20591_PF00350_73_249	1	GCP
P20701_PF00092_156_326	7	2O7,803,BJZ,BQM,BQN,E2M,L08
P20813_PF00067_31_488	12	06X,3QO,3QU,3V4,82S,85D,9ZJ,CAE,CM5,CPZ,SNE,TMH
P20815_PF00067_38_492	2	RIT,XRD
P20839_PF00478_29_504	4	ATP,GTP,IMP,NAD
P20839_PF00571_107_166	1	GTP
P21359_PF13716_1602_1736	3	OXN,PEV,PTY
P21397_PF01593_23_460	3	FAD,HRM,MLG
P21549_PF00266_24_376	3	BTB,PLR,PMP
P21589_PF02872_338_513	3	ADN,CFF,DCM
