Domain (Uniprot_Pfam_Start_End)	Pocket Sets
P31942_PF00076_18_87	AF2-PD
P31942_PF00076_197_264	AF2-PD
P31943_PF00076_113_182	PDB-PD,AF2-PD
P31943_PF00076_13_84	PDB-PD,AF2-PD
P31943_PF00076_291_358	AF2-PD
P31944_PF00656_17_240	AF2-PD
P31946_PF00244_11_231	PDB-PD,AF2-PD
P31947_PF00244_9_231	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P31948_PF17830_130_184	AF2-PD
P31948_PF17830_482_536	PDB-PD,AF2-PD
P31949_PF00036_59_87	AF2-PD
P31949_PF01023_10_54	PDB-PD,AF2-PD
P31994_PF13895_132_214	PDB-PD,AF2-PD
P31994_PF13895_48_128	PDB-PD
P31995_PF13895_132_214	PDB-PD,AF2-PD
P31995_PF13895_48_128	PDB-PD,AF2-PD
P31997_PF07686_38_141	PDB-PD,AF2-PD
P31997_PF13895_239_318	AF2-PD
P31997_PF13927_146_219	AF2-PD
P32004_PF00041_613_701	AF2-PD
P32004_PF00041_716_800	AF2-PD
P32004_PF00041_813_907	AF2-PD
P32004_PF00041_919_1004	AF2-PD
P32004_PF07679_333_421	AF2-PD
P32004_PF07679_428_514	AF2-PD
P32004_PF13927_239_316	AF2-PD
P32004_PF13927_34_118	AF2-PD
P32019_PF00620_830_968	AF2-PD
P32019_PF03372_350_629	PDB-PD,AF2-PD
P32019_PF16776_1_149	AF2-PD
P32119_PF00578_8_141	PDB-PD,AF2-PD
P32119_PF10417_161_196	PDB-PD,AF2-PD
P32121_PF02752_194_349	AF2-PD
P32189_PF00370_12_272	AF2-PD
P32189_PF02782_281_473	AF2-PD
P32238_PF09193_1_47	PDB-PD
P32242_PF00046_39_95	AF2-PD
P32243_PF00046_39_95	AF2-PD
P32298_PF00069_187_449	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P32298_PF00615_52_171	PDB-PD,AF2-PD
P32314_PF00250_111_198	AF2-PD
P32320_PF00383_12_118	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P32321_PF00383_13_129	PDB-PD,AF2-PD
P32322_PF14748_164_268	PDB-PD,AF2-PD
P32418_PF03160_396_496	AF2-PD
P32418_PF03160_527_627	AF2-PD
P32455_PF02263_18_282	PDB-LIG,PDB-PD,AF2-PD
P32455_PF02841_284_580	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P32456_PF02263_18_280	PDB-LIG,PDB-PD,AF2-PD
P32456_PF02841_282_578	PDB-PD,AF2-PD
P32519_PF00178_209_290	AF2-PD
P32754_PF00903_180_335	PDB-PD,AF2-PD
P32780_PF03909_180_237	PDB-PD
P32780_PF08567_16_97	PDB-PD,AF2-PD
P32856_PF00804_31_226	AF2-PD
P32881_PF00143_26_185	PDB-PD,AF2-PD
P32926_PF00028_162_258	PDB-PD,AF2-PD
P32926_PF00028_272_375	PDB-PD,AF2-PD
P32926_PF00028_57_148	PDB-PD,AF2-PD
P32929_PF01053_19_395	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P32942_PF03921_29_119	PDB-PD,AF2-PD
P32969_PF00347_12_87	PDB-PD,AF2-PD
P32969_PF00347_99_178	AF2-PD
P32970_PF00229_73_191	PDB-PD,AF2-PD
P32971_PF00229_113_230	AF2-PD
P33076_PF05729_414_585	AF2-PD
P33121_PF13193_572_643	AF2-PD
P33151_PF00028_156_249	AF2-PD
P33151_PF00028_263_364	AF2-PD
P33151_PF00028_377_470	AF2-PD
P33151_PF00028_483_576	AF2-PD
P33151_PF00028_52_142	AF2-PD
P33176_PF00225_14_325	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P33240_PF00076_18_88	PDB-PD,AF2-PD
P33240_PF14304_533_573	PDB-PD,AF2-PD
P33260_PF00067_30_487	AF2-PD
P33261_PF00067_30_487	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P33316_PF00692_121_250	PDB-PD,AF2-PD
P33402_PF00211_512_699	AF2-PD
P33402_PF07701_316_506	AF2-PD
P33527_PF00005_1310_1458	AF2-PD
P33527_PF00005_661_796	PDB-PD,AF2-PD
P33552_PF01111_6_73	PDB-PD,AF2-PD
P33681_PF07686_36_135	PDB-PD,AF2-PD
P33681_PF08205_141_227	AF2-PD
P33763_PF01023_5_43	PDB-PD,AF2-PD
P33764_PF01023_5_49	PDB-PD,AF2-PD
P33778_PF00125_2_102	AF2-PD
P33897_PF00005_490_633	PDB-PD,AF2-PD
P33981_PF00069_525_791	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P33991_PF00493_445_670	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P33991_PF14551_163_264	PDB-PD
P33991_PF17207_270_398	PDB-PD,AF2-PD
P33991_PF17855_685_769	PDB-PD,AF2-PD
P33992_PF00493_318_540	PDB-PD,AF2-PD
P33992_PF14551_32_130	PDB-PD,AF2-PD
P33992_PF17207_136_273	PDB-PD
P33992_PF17855_557_648	PDB-PD,AF2-PD
P33993_PF00493_320_541	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P33993_PF14551_10_140	AF2-PD
P33993_PF17207_148_281	PDB-PD,AF2-PD
P33993_PF17855_557_641	PDB-PD,AF2-PD
P34059_PF14707_378_509	PDB-PD,AF2-PD
P34096_PF00074_31_146	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P34130_PF00243_89_208	PDB-PD,AF2-PD
P34820_PF00019_300_401	AF2-PD
P34896_PF00464_26_425	PDB-PD,AF2-PD
P34897_PF00464_49_448	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P34913_PF00561_259_531	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P34913_PF00702_3_197	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P34925_PF07714_330_596	PDB-PD,AF2-PD
P34947_PF00069_186_448	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P34947_PF00615_52_170	PDB-PD,AF2-PD
P35030_PF00089_81_296	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35080_PF00235_2_140	PDB-PD,AF2-PD
P35218_PF00194_44_296	AF2-PD
P35219_PF00194_32_289	AF2-PD
P35225_PF03487_16_144	PDB-PD,AF2-PD
P35226_PF13923_17_56	PDB-PD
P35226_PF16207_162_226	PDB-PD,AF2-PD
P35227_PF16207_164_228	AF2-PD
P35228_PF00175_979_1093	AF2-PD
P35228_PF00258_541_672	PDB-LIG,PDB-PD,AF2-PD
P35228_PF00667_725_947	AF2-PD
P35228_PF02898_135_497	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35236_PF00102_119_349	PDB-PD,AF2-PD
P35240_PF00373_104_222	PDB-PD,AF2-PD
P35240_PF09379_26_87	PDB-PD,AF2-PD
P35240_PF09380_226_315	PDB-PD,AF2-PD
P35241_PF00373_88_206	AF2-PD
P35241_PF09379_9_71	AF2-PD
P35241_PF09380_210_299	AF2-PD
P35243_PF13499_99_177	PDB-PD,AF2-PD
P35243_PF13833_40_93	PDB-PD,AF2-PD
P35244_PF08661_5_113	PDB-PD,AF2-PD
P35247_PF00059_271_375	PDB-PD,AF2-PD
P35249_PF00004_74_202	PDB-PD,AF2-PD
P35249_PF08542_269_354	PDB-PD,AF2-PD
P35250_PF00004_72_193	PDB-PD,AF2-PD
P35250_PF08542_258_343	PDB-PD,AF2-PD
P35251_PF00004_647_776	PDB-PD,AF2-PD
P35251_PF08519_915_1068	PDB-PD,AF2-PD
P35270_PF00106_8_214	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35354_PF00008_21_53	PDB-PD,AF2-PD
P35354_PF03098_198_560	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35398_PF00104_308_494	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35398_PF00105_71_140	AF2-PD
P35442_PF00090_385_430	AF2-PD
P35442_PF00090_441_491	AF2-PD
P35442_PF00090_498_548	AF2-PD
P35442_PF02412_729_764	PDB-PD,AF2-PD
P35442_PF02412_763_787	PDB-PD
P35442_PF02412_788_823	PDB-PD,AF2-PD
P35442_PF02412_823_846	PDB-PD,AF2-PD
P35442_PF02412_847_884	PDB-PD,AF2-PD
P35442_PF02412_921_956	AF2-PD
P35442_PF07645_590_646	PDB-PD,AF2-PD
P35442_PF12947_652_691	PDB-PD,AF2-PD
P35443_PF02412_555_590	AF2-PD
P35443_PF02412_590_613	AF2-PD
P35443_PF02412_652_691	AF2-PD
P35443_PF02412_692_727	AF2-PD
P35443_PF07645_326_377	AF2-PD
P35443_PF07645_379_422	AF2-PD
P35452_PF00046_203_259	AF2-PD
P35453_PF00046_277_333	AF2-PD
P35520_PF00571_414_470	PDB-PD,AF2-PD
P35548_PF00046_143_199	AF2-PD
P35555_PF07645_1070_1111	PDB-PD
P35555_PF07645_1113_1153	PDB-PD
P35555_PF07645_1487_1534	PDB-PD
P35555_PF07645_1606_1646	PDB-PD
P35555_PF07645_2127_2164	PDB-PD
P35555_PF07645_807_845	PDB-PD
P35555_PF07645_910_950	PDB-PD
P35555_PF18193_44_82	PDB-PD
P35557_PF00349_15_215	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35557_PF03727_221_455	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35558_PF00821_260_618	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35558_PF17297_29_256	PDB-PD,AF2-PD
P35568_PF00169_7_114	PDB-PD,AF2-PD
P35568_PF02174_160_262	PDB-PD,AF2-PD
P35573_PF14701_120_551	AF2-PD
P35573_PF14702_697_974	AF2-PD
P35579_PF00063_83_764	AF2-PD
P35579_PF02736_27_72	AF2-PD
P35580_PF00063_87_771	AF2-PD
P35580_PF02736_31_76	AF2-PD
P35590_PF00041_448_533	AF2-PD
P35590_PF00041_548_632	AF2-PD
P35590_PF00041_645_729	PDB-PD
P35590_PF00047_129_210	AF2-PD
P35590_PF00047_356_441	AF2-PD
P35590_PF07714_839_1107	AF2-PD
P35609_PF00307_151_258	PDB-PD,AF2-PD
P35609_PF00307_38_143	PDB-PD,AF2-PD
P35609_PF00435_281_391	PDB-PD,AF2-PD
P35609_PF00435_401_506	PDB-PD,AF2-PD
P35609_PF00435_516_627	PDB-PD,AF2-PD
P35609_PF00435_637_740	PDB-PD,AF2-PD
P35609_PF08726_824_890	PDB-PD,AF2-PD
P35612_PF00596_135_317	AF2-PD
P35613_PF13927_220_305	PDB-PD,AF2-PD
P35613_PF13927_25_112	PDB-PD,AF2-PD
P35625_PF00965_22_194	AF2-PD
P35626_PF00069_191_453	AF2-PD
P35626_PF00615_54_174	AF2-PD
P35637_PF00076_287_365	PDB-PD,AF2-PD
P35637_PF00641_422_453	AF2-PD
P35659_PF08766_320_374	PDB-PD
P35670_PF00403_146_207	PDB-PD,AF2-PD
P35670_PF00403_260_320	PDB-PD
P35670_PF00403_362_423	PDB-PD,AF2-PD
P35670_PF00403_491_552	PDB-PD,AF2-PD
P35670_PF00403_567_628	PDB-PD,AF2-PD
P35670_PF00403_61_122	PDB-PD,AF2-PD
P35670_PF00702_1021_1279	AF2-PD
P35711_PF00505_556_624	AF2-PD
P35712_PF00505_621_689	AF2-PD
P35713_PF00505_85_153	AF2-PD
P35716_PF00505_49_117	PDB-PD,AF2-PD
P35749_PF00063_87_771	AF2-PD
P35749_PF02736_31_76	AF2-PD
P35754_PF00462_15_80	PDB-PD,AF2-PD
P35789_PF00096_229_251	AF2-PD
P35789_PF00096_341_363	AF2-PD
P35789_PF00096_593_615	AF2-PD
P35813_PF07830_285_363	PDB-PD,AF2-PD
P35869_PF00010_35_80	PDB-PD,AF2-PD
P35869_PF00989_113_227	AF2-PD
P35869_PF08447_297_383	AF2-PD
P35913_PF00233_556_800	AF2-PD
P35913_PF01590_252_429	AF2-PD
P35913_PF01590_71_217	AF2-PD
P35914_PF00682_32_306	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P35916_PF07679_678_765	AF2-PD
P35916_PF13927_231_314	AF2-PD
P35916_PF13927_559_657	AF2-PD
P35968_PF07679_333_417	PDB-PD,AF2-PD
P35968_PF07679_667_754	PDB-PD,AF2-PD
P35968_PF07714_834_1160	PDB-LIG,PDB-PD
P35968_PF13927_226_311	PDB-PD,AF2-PD
P35968_PF13927_550_646	AF2-PD
P35968_PF17988_759_793	PDB-PD,AF2-PD
P35998_PF00004_212_345	PDB-PD,AF2-PD
P35998_PF17862_367_411	PDB-PD,AF2-PD
P36222_PF00704_23_357	PDB-PD,AF2-PD
P36268_PF01019_55_564	AF2-PD
P36383_PF00029_2_255	AF2-PD
P36402_PF00505_269_337	AF2-PD
P36404_PF00025_3_176	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P36405_PF00025_3_177	AF2-PD
P36406_PF00025_391_565	AF2-PD
P36406_PF00643_123_168	AF2-PD
P36507_PF00069_72_369	PDB-LIG,PDB-PD,AF2-LIG
P36508_PF00096_285_309	AF2-PD
P36542_PF00231_27_297	AF2-PD
P36575_PF02752_190_353	AF2-PD
P36578_PF14374_275_349	AF2-PD
P36639_PF00293_45_168	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P36776_PF00004_519_661	PDB-PD,AF2-PD
P36776_PF05362_736_949	PDB-LIG,PDB-PD,AF2-PD
P36871_PF02878_14_158	PDB-PD,AF2-PD
P36871_PF02879_193_301	PDB-PD,AF2-PD
P36871_PF02880_306_420	PDB-PD,AF2-PD
P36873_PF00149_57_252	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P36888_PF00047_255_345	PDB-PD,AF2-PD
P36894_PF01064_59_134	PDB-PD,AF2-PD
P36894_PF07714_234_521	AF2-PD
P36896_PF00069_207_494	AF2-PD
P36896_PF01064_32_105	PDB-PD,AF2-PD
P36897_PF00069_205_492	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P36897_PF01064_34_110	PDB-PD,AF2-PD
P36941_PF00020_163_210	AF2-PD
P36941_PF00020_43_80	PDB-PD,AF2-PD
P36941_PF00020_83_124	PDB-PD,AF2-PD
P36952_PF00079_6_375	PDB-PD,AF2-PD
P36954_PF01096_84_124	PDB-PD,AF2-PD
P36954_PF02150_14_51	PDB-PD,AF2-PD
P36955_PF00079_56_415	PDB-PD,AF2-PD
P36956_PF00010_324_374	PDB-PD,AF2-PD
P36957_PF00198_220_451	PDB-PD,AF2-PD
P36957_PF00364_71_143	AF2-PD
P36959_PF00478_9_342	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P36980_PF00084_149_203	PDB-PD,AF2-PD
P36980_PF00084_207_267	PDB-PD,AF2-PD
P36980_PF00084_23_83	AF2-PD
P36980_PF00084_87_140	AF2-PD
P37023_PF07714_202_489	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P37058_PF00106_49_243	AF2-PD
P37059_PF00106_83_278	AF2-PD
P37108_PF02290_4_94	PDB-PD,AF2-PD
P37173_PF07714_244_538	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P37173_PF08917_49_159	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P37231_PF00104_300_486	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P37231_PF00105_137_205	PDB-PD,AF2-PD
P37235_PF13499_98_174	PDB-PD,AF2-PD
P37235_PF13833_39_90	PDB-PD,AF2-PD
P37268_PF00494_47_320	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P37275_PF00096_240_262	AF2-PD
P37275_PF05605_168_224	AF2-PD
P37802_PF00307_24_137	PDB-PD,AF2-PD
P37837_PF00923_24_326	PDB-PD,AF2-PD
P38117_PF01012_26_214	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P38159_PF00076_10_80	PDB-PD,AF2-PD
P38398_PF00097_24_64	PDB-PD,AF2-PD
P38405_PF00503_22_370	AF2-PD
P38484_PF09294_138_238	PDB-PD,AF2-PD
P38567_PF01630_42_373	AF2-PD
P38570_PF00092_202_381	AF2-PD
P38571_PF00561_80_381	PDB-PD,AF2-PD
P38606_PF00006_230_455	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P38606_PF02874_21_83	PDB-PD,AF2-PD
P38919_PF00270_62_228	PDB-PD,AF2-PD
P38919_PF00271_263_372	PDB-PD,AF2-PD
P38935_PF01424_726_784	PDB-PD,AF2-PD
P38935_PF13086_191_411	PDB-PD,AF2-PD
P38935_PF13087_418_615	PDB-PD,AF2-PD
P39059_PF06482_1218_1383	AF2-PD
P39059_PF13385_76_235	AF2-PD
P39059_PF20010_1135_1183	PDB-PD
P39060_PF06482_1581_1750	PDB-PD,AF2-PD
P39060_PF20010_1445_1493	PDB-PD,AF2-PD
P39086_PF10613_447_561	PDB-PD,AF2-PD
P39877_PF00068_22_130	AF2-PD
P39880_PF00046_1245_1301	AF2-PD
P39880_PF02376_1122_1200	AF2-PD
P39880_PF02376_547_624	AF2-PD
P39880_PF02376_939_1014	AF2-PD
P39900_PF00413_108_263	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P39900_PF01471_26_87	AF2-PD
P39905_PF00019_117_210	PDB-PD,AF2-PD
P40121_PF00626_146_221	PDB-PD,AF2-PD
P40121_PF00626_264_341	PDB-PD,AF2-PD
P40121_PF00626_28_107	PDB-PD,AF2-PD
P40126_PF00264_179_409	AF2-PD
P40145_PF00211_405_589	AF2-PD
P40145_PF00211_973_1172	AF2-PD
P40189_PF00041_223_311	PDB-PD,AF2-PD
P40189_PF00041_518_605	PDB-PD,AF2-PD
P40189_PF06328_26_112	PDB-PD,AF2-PD
P40189_PF09240_131_218	PDB-PD,AF2-PD
P40198_PF07686_38_141	PDB-PD,AF2-PD
P40199_PF07686_38_141	PDB-PD,AF2-PD
P40199_PF13895_239_318	AF2-PD
P40199_PF13927_146_219	AF2-PD
P40225_PF00758_25_175	PDB-PD,AF2-PD
P40238_PF00041_391_475	AF2-PD
P40238_PF09067_25_128	AF2-PD
P40259_PF07686_48_143	PDB-PD,AF2-PD
P40306_PF00227_36_217	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P40313_PF00089_34_257	AF2-PD
P40337_PF01847_63_144	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P40337_PF17211_156_204	PDB-PD,AF2-PD
P40394_PF00107_214_350	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P40394_PF08240_46_172	PDB-PD,AF2-PD
P40424_PF00046_234_293	PDB-PD
P40425_PF00046_245_304	AF2-PD
P40616_PF00025_5_177	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P40617_PF00025_8_186	AF2-PD
P40692_PF13589_26_137	PDB-LIG,PDB-PD,AF2-PD
P40692_PF16413_502_756	PDB-PD,AF2-PD
P40763_PF00017_584_674	PDB-PD,AF2-PD
P40763_PF02864_325_464	PDB-PD,AF2-PD
P40763_PF02865_2_120	AF2-PD
P40818_PF00581_184_307	PDB-PD,AF2-PD
P40818_PF08969_6_116	PDB-PD,AF2-PD
P40879_PF01740_526_716	AF2-PD
P40925_PF00056_5_153	PDB-PD,AF2-PD
P40925_PF02866_156_331	PDB-PD,AF2-PD
P40926_PF00056_25_168	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P40926_PF02866_170_334	PDB-PD,AF2-PD
P40933_PF02372_33_160	PDB-PD,AF2-PD
P40937_PF00004_56_177	PDB-PD,AF2-PD
P40937_PF08542_242_328	PDB-PD,AF2-PD
P40938_PF13177_18_188	PDB-PD,AF2-PD
P40939_PF00378_44_242	PDB-PD,AF2-PD
P40939_PF00725_544_639	PDB-PD,AF2-PD
P40939_PF00725_673_760	PDB-PD,AF2-PD
P40939_PF02737_363_542	PDB-PD,AF2-PD
P40967_PF00801_225_301	AF2-PD
P41002_PF00134_281_406	AF2-PD
P41002_PF00646_32_72	AF2-PD
P41002_PF02984_408_531	AF2-PD
P41091_PF03144_276_359	PDB-PD,AF2-PD
P41091_PF09173_369_459	PDB-PD,AF2-PD
P41134_PF00010_66_106	AF2-PD
P41159_PF02024_23_167	PDB-PD
P41161_PF00178_369_448	PDB-PD,AF2-PD
P41162_PF00178_36_116	AF2-PD
P41180_PF00003_606_856	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P41182_PF00096_546_568	AF2-PD
P41182_PF00096_602_624	AF2-PD
P41182_PF00096_630_652	AF2-PD
P41182_PF00651_22_129	PDB-PD
P41208_PF13499_103_167	PDB-PD,AF2-PD
P41208_PF13499_30_94	PDB-PD,AF2-PD
P41212_PF00178_340_420	PDB-PD,AF2-PD
P41212_PF02198_38_124	PDB-PD
P41214_PF01253_487_567	PDB-PD,AF2-PD
P41214_PF17832_2_90	PDB-PD,AF2-PD
P41217_PF00047_35_136	AF2-PD
P41218_PF02758_8_80	PDB-PD,AF2-PD
P41220_PF00615_83_198	PDB-PD,AF2-PD
P41222_PF00061_40_184	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P41223_PF01125_1_144	PDB-PD,AF2-PD
P41225_PF00505_139_207	AF2-PD
P41226_PF00899_15_409	AF2-PD
P41226_PF00899_415_912	AF2-PD
P41226_PF09358_914_1008	AF2-PD
P41226_PF16190_187_257	AF2-PD
P41226_PF16191_258_327	AF2-PD
P41229_PF00628_326_374	AF2-PD
P41229_PF01388_81_165	PDB-PD,AF2-PD
P41229_PF02373_501_617	PDB-LIG,PDB-PD,AF2-PD
P41229_PF02928_707_759	PDB-PD,AF2-PD
P41235_PF00104_172_361	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P41235_PF00105_58_127	PDB-PD,AF2-PD
P41238_PF05240_108_186	AF2-PD
P41240_PF00017_82_156	PDB-PD,AF2-PD
P41240_PF00018_15_62	PDB-PD,AF2-PD
P41240_PF07714_195_440	PDB-LIG,PDB-PD,AF2-LIG
P41250_PF00458_67_117	PDB-PD,AF2-PD
P41250_PF00587_291_592	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P41250_PF03129_615_709	PDB-PD,AF2-PD
P41252_PF08264_693_852	AF2-PD
P41252_PF19302_867_1071	AF2-PD
P41271_PF03045_23_123	PDB-PD,AF2-PD
P41273_PF00229_107_240	PDB-PD,AF2-PD
P41279_PF00069_139_388	PDB-LIG,PDB-PD,AF2-PD
P41439_PF03024_36_211	AF2-PD
P41567_PF01253_27_103	PDB-PD
P41594_PF00003_573_821	PDB-PD,AF2-PD
P41743_PF00069_254_522	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P41743_PF00564_25_107	PDB-PD,AF2-PD
P41970_PF00178_6_85	AF2-PD
P42081_PF07686_24_132	PDB-PD,AF2-PD
P42126_PF00378_52_301	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P42166_PF03020_111_150	PDB-PD,AF2-PD
P42166_PF08198_2_49	PDB-PD,AF2-PD
P42224_PF00017_573_657	PDB-PD,AF2-PD
P42224_PF02864_321_458	PDB-PD,AF2-PD
P42224_PF02865_2_120	PDB-PD,AF2-PD
P42226_PF00017_537_616	PDB-PD,AF2-PD
P42226_PF02864_277_413	PDB-PD,AF2-PD
P42229_PF00017_589_670	AF2-PD
P42229_PF02864_336_469	AF2-PD
P42229_PF02865_2_124	AF2-PD
P42261_PF10613_407_522	AF2-PD
P42262_PF10613_414_529	PDB-PD,AF2-PD
P42263_PF10613_423_538	AF2-PD
P42285_PF00270_141_292	PDB-PD,AF2-PD
P42285_PF00271_373_528	PDB-PD,AF2-PD
P42285_PF08148_867_1037	PDB-PD,AF2-PD
P42285_PF13234_582_841	PDB-PD,AF2-PD
P42330_PF00248_18_301	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P42331_PF00169_47_151	PDB-PD
P42331_PF00620_177_325	AF2-PD
P42336_PF00792_350_485	PDB-PD,AF2-PD
P42336_PF00794_173_292	PDB-PD,AF2-PD
P42338_PF00792_347_490	AF2-PD
P42338_PF00794_180_288	AF2-PD
P42345_PF08771_2015_2113	PDB-PD,AF2-PD
P42568_PF03366_27_108	PDB-PD,AF2-PD
P42568_PF17793_503_563	PDB-PD,AF2-PD
P42574_PF00656_44_274	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P42575_PF00619_37_121	AF2-PD
P42575_PF00656_199_439	AF2-PD
P42658_PF00326_641_850	PDB-PD,AF2-PD
P42679_PF00017_122_196	PDB-PD,AF2-PD
P42679_PF00018_59_100	PDB-PD,AF2-PD
P42679_PF07714_235_478	AF2-PD
P42680_PF00017_247_330	AF2-PD
P42680_PF00018_185_231	AF2-PD
P42680_PF00169_5_111	PDB-PD,AF2-PD
P42680_PF07714_370_619	AF2-PD
P42681_PF00017_150_231	PDB-PD,AF2-PD
P42681_PF00018_88_134	AF2-PD
P42681_PF07714_271_520	AF2-PD
P42684_PF00017_173_248	PDB-PD,AF2-PD
P42684_PF00018_113_159	PDB-PD,AF2-PD
P42684_PF07714_288_539	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P42684_PF08919_1082_1182	PDB-PD,AF2-PD
P42685_PF00017_116_193	AF2-PD
P42685_PF00018_48_102	AF2-PD
P42694_PF13086_641_764	AF2-PD
P42694_PF13086_754_833	AF2-PD
P42694_PF13087_840_1052	AF2-PD
P42696_PF00076_187_234	AF2-PD
P42696_PF00076_289_358	AF2-PD
P42701_PF00041_447_532	AF2-PD
P42702_PF00041_434_523	PDB-PD,AF2-PD
P42702_PF17971_131_244	PDB-PD,AF2-PD
P42702_PF18207_51_129	PDB-PD,AF2-PD
P42765_PF00108_7_266	PDB-PD,AF2-PD
P42765_PF02803_273_395	PDB-PD,AF2-PD
P42768_PF00568_36_145	AF2-PD
P42768_PF00786_237_296	PDB-LIG,PDB-PD,AF2-PD
P42785_PF05577_55_477	PDB-PD,AF2-PD
P42830_PF00048_47_106	PDB-PD,AF2-PD
P42898_PF02219_48_337	PDB-LIG,PDB-PD,AF2-LIG
P43026_PF00019_399_500	PDB-PD,AF2-PD
P43034_PF08513_9_35	AF2-PD
P43080_PF13499_89_161	AF2-PD
P43121_PF00047_348_421	PDB-PD,AF2-PD
P43121_PF08205_139_234	AF2-PD
P43121_PF13927_253_322	AF2-PD
P43146_PF00041_430_514	PDB-PD,AF2-PD
P43146_PF00041_529_610	PDB-PD,AF2-PD
P43146_PF00041_624_708	PDB-PD,AF2-PD
P43146_PF00041_727_807	PDB-PD,AF2-PD
P43146_PF00041_845_932	PDB-PD
P43146_PF00041_946_1034	PDB-PD,AF2-PD
P43146_PF07679_140_230	AF2-PD
P43146_PF07679_240_327	AF2-PD
P43146_PF07679_331_417	AF2-PD
P43166_PF00194_13_262	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P43234_PF00112_108_320	AF2-PD
P43235_PF00112_115_328	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P43235_PF08246_26_86	PDB-PD,AF2-PD
P43246_PF00488_665_852	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P43246_PF01624_17_132	PDB-PD,AF2-PD
P43246_PF05188_145_290	PDB-PD,AF2-PD
P43246_PF05190_473_569	PDB-PD,AF2-PD
P43246_PF05192_305_609	PDB-PD,AF2-PD
P43250_PF00069_186_448	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P43250_PF00615_52_170	PDB-PD,AF2-PD
P43251_PF19018_393_543	AF2-PD
P43268_PF00178_342_421	PDB-PD,AF2-PD
P43304_PF01266_71_441	AF2-PD
P43320_PF00030_108_190	PDB-PD,AF2-PD
P43320_PF00030_18_100	PDB-PD,AF2-PD
P43354_PF00104_393_579	PDB-LIG,PDB-PD,AF2-LIG,AF2-PD
P43354_PF00105_261_330	PDB-PD,AF2-PD
P43378_PF00102_327_573	PDB-PD,AF2-PD
P43378_PF00650_92_237	AF2-PD
P43403_PF00017_10_87	PDB-PD,AF2-PD
P43403_PF00017_163_239	PDB-PD,AF2-PD
