,strategy,pocket,PocketVec distance
12307,PDB-PD,P03986_PF07654_13_95_fpocket_4,0.2191
12308,AF2-PD,P12814_PF00307_31_136_fpocket_3,0.2191
12309,PDB-PD,P11233_PF00071_16_177_fpocket_1,0.2191
12310,AF2-PD,Q8NER5_PF01064_26_96_fpocket_3,0.2191
12311,AF2-PD,Q9UN71_PF00028_455_551_fpocket_2,0.2191
12312,AF2-PD,Q4KWH8_PF09279_207_292_fpocket_4,0.2191
12313,PDB-PD,Q92945_PF00013_235_301_fpocket_3,0.2191
12314,AF2-PD,Q9Y5G5_PF00028_247_338_fpocket_1,0.2191
12315,AF2-PD,Q9Y5G6_PF00028_247_338_fpocket_3,0.2191
12316,AF2-PD,Q16740_PF00574_67_248_fpocket_4,0.2191
12317,PDB-PD,Q9UHF4_PF09294_135_240_fpocket_3,0.2191
12318,AF2-PD,Q06787_PF18336_4_52_fpocket_1,0.2191
12319,AF2-PD,O75594_PF01510_51_181_fpocket_1,0.2191
12320,AF2-PD,P51991_PF00076_128_199_fpocket_2,0.2191
12321,AF2-PD,Q96HF1_PF01392_40_149_fpocket_1,0.2191
12322,PDB-PD,Q5TBB1_PF17745_25_92_fpocket_5,0.2191
12323,AF2-PD,Q06190_PF17958_796_885_fpocket_1,0.2191
12324,AF2-PD,Q9BQ16_PF00086_317_380_fpocket_1,0.2191
12325,PDB-PD,P11498_PF00682_563_837_fpocket_1,0.2191
12326,AF2-PD,O95267_PF00618_57_153_fpocket_2,0.2191
12327,AF2-PD,Q9UK59_PF05011_246_379_fpocket_2,0.2191
12328,AF2-PD,P00742_PF00594_45_85_fpocket_3,0.2191
12329,AF2-PD,Q9P1F3_PF14705_2_79_fpocket_4,0.2191
12330,AF2-PD,Q13017_PF00620_1275_1422_fpocket_1,0.2191
12331,PDB-PD,Q08174_PF00028_401_497_fpocket_4,0.2191
12332,PDB-PD,P01023_PF17791_223_313_fpocket_2,0.2191
12333,AF2-PD,Q9Y5E8_PF00028_247_338_fpocket_2,0.2191
12334,AF2-PD,Q9NY43_PF00046_233_289_fpocket_1,0.2191
12335,AF2-PD,P15529_PF00084_162_223_fpocket_1,0.2191
12336,AF2-PD,P05160_PF00084_336_389_fpocket_2,0.2191
12337,AF2-PD,P11940_PF00076_101_168_fpocket_1,0.2191
12338,AF2-PD,Q8IWV2_PF13927_497_579_fpocket_3,0.2191
12339,PDB-PD,Q99856_PF01388_240_326_fpocket_3,0.2191
12340,AF2-PD,P61601_PF13833_39_90_fpocket_2,0.2191
12341,AF2-PD,A8MXD5_PF00462_139_208_fpocket_3,0.2191
12342,PDB-PD,P20585_PF01624_230_343_fpocket_3,0.2191
12343,PDB-PD,Q9Y566_PF17820_701_754_fpocket_1,0.2191
12344,AF2-PD,O75365_PF00102_10_152_fpocket_9,0.2191
12345,AF2-PD,P10114_PF00071_5_166_fpocket_1,0.2191
12346,AF2-PD,Q9H5H4_PF00096_457_479_fpocket_1,0.2191
12347,AF2-PD,Q9Y624_PF13927_134_216_fpocket_2,0.2191
12348,PDB-PD,Q13148_PF00076_106_172_fpocket_5,0.2191
12349,PDB-PD,Q13153_PF00069_270_521_fpocket_2,0.2191
12350,AF2-PD,Q6DT37_PF00130_879_929_fpocket_1,0.2191
12351,PDB-PD,P28161_PF00043_104_192_fpocket_6,0.2191
12352,AF2-PD,O14662_PF00804_77_265_fpocket_14,0.2191
12353,AF2-PD,P48544_PF17655_200_372_fpocket_19,0.2191
12354,PDB-PD,Q9ULU4_PF00855_278_351_fpocket_4,0.2191
12355,AF2-PD,P01034_PF00031_37_132_fpocket_2,0.2191
12356,AF2-PD,Q6STE5_PF02201_261_333_fpocket_1,0.2191
12357,PDB-PD,Q9NRJ3_PF00048_28_88_fpocket_3,0.2191
12358,AF2-PD,P23258_PF03953_264_393_fpocket_5,0.2191
12359,AF2-PD,O43439_PF01753_507_543_fpocket_1,0.2191
12360,AF2-PD,O00445_PF00168_254_361_fpocket_1,0.2191
12361,AF2-PD,P16562_PF00188_41_169_fpocket_2,0.2191
12362,AF2-PD,Q7Z6J9_PF12928_63_130_fpocket_4,0.2191
12363,AF2-PD,Q9BZM3_PF00046_203_259_fpocket_2,0.2191
12364,AF2-PD,Q6ZMQ8_PF07714_125_395_fpocket_13,0.2191
12365,AF2-LIG,P0C1S8_PF00069_212_486_pocket_0,0.2191
12366,PDB-PD,Q96CW1_PF01217_1_137_fpocket_1,0.2191
12367,AF2-PD,P15259_PF00300_126_223_fpocket_1,0.2191
12368,AF2-PD,Q14155_PF00169_478_578_fpocket_9,0.2191
12369,AF2-PD,Q9Y5H4_PF00028_457_553_fpocket_2,0.2191
12370,PDB-PD,P27694_PF16900_305_402_fpocket_5,0.2191
12371,AF2-PD,Q53QZ3_PF00620_295_443_fpocket_11,0.2192
12372,AF2-PD,Q13576_PF00307_41_158_fpocket_12,0.2192
12373,AF2-LIG,P29317_PF07714_613_871_pocket_0,0.2192
12374,PDB-PD,Q99963_PF00018_291_336_fpocket_3,0.2192
12375,AF2-PD,P07384_PF13833_557_616_fpocket_3,0.2192
12376,AF2-LIG,P24666_PF01451_9_154_pocket_1,0.2192
12377,PDB-PD,Q9UMX0_PF00240_39_109_fpocket_2,0.2192
12378,AF2-PD,Q9UI32_PF17959_72_155_fpocket_6,0.2192
12379,AF2-PD,Q04771_PF01064_33_103_fpocket_2,0.2192
12380,PDB-PD,P42568_PF17793_503_563_fpocket_6,0.2192
12381,AF2-PD,P17039_PF00096_372_394_fpocket_2,0.2192
12382,AF2-PD,Q9BSF8_PF16017_168_273_fpocket_1,0.2192
12383,AF2-PD,Q8N8S7_PF00568_1_108_fpocket_1,0.2192
12384,PDB-LIG,Q96GD4_PF00069_77_327_pocket_0,0.2192
12385,PDB-PD,Q8TB45_PF00610_48_117_fpocket_1,0.2192
12386,AF2-PD,O60941_PF09069_144_232_fpocket_4,0.2192
12387,AF2-PD,P52746_PF00096_1536_1559_fpocket_1,0.2192
12388,AF2-PD,Q92963_PF00071_23_184_fpocket_5,0.2192
12389,PDB-PD,Q8NFP4_PF13927_40_112_fpocket_3,0.2192
12390,PDB-PD,P23458_PF07714_583_845_fpocket_10,0.2192
12391,AF2-PD,Q96NE9_PF00373_118_234_fpocket_4,0.2192
12392,PDB-PD,Q5TDH0_PF00240_6_79_fpocket_1,0.2192
12393,AF2-PD,O95622_PF00211_460_642_fpocket_15,0.2192
12394,AF2-PD,A6BM72_PF00053_618_666_fpocket_2,0.2192
12395,AF2-PD,Q5T7W7_PF00581_290_390_fpocket_1,0.2192
12396,PDB-PD,O15197_PF01404_34_232_fpocket_1,0.2192
12397,PDB-PD,Q15436_PF04810_58_98_fpocket_1,0.2192
12398,AF2-PD,Q9BUY5_PF00096_364_386_fpocket_1,0.2192
12399,AF2-PD,Q92796_PF00595_226_310_fpocket_2,0.2192
12400,AF2-PD,Q9Y2Q3_PF01323_7_211_fpocket_6,0.2192
12401,AF2-LIG,P02768_PF00273_222_394_pocket_2,0.2192
12402,AF2-PD,Q8WV44_PF15227_20_57_fpocket_2,0.2192
12403,AF2-LIG,O60674_PF07714_849_1123_pocket_0,0.2192
12404,PDB-PD,P0DP24_PF13499_10_74_fpocket_1,0.2192
12405,AF2-PD,Q58F21_PF00439_35_121_fpocket_2,0.2192
12406,PDB-PD,P55773_PF00048_52_109_fpocket_3,0.2192
12407,AF2-PD,Q8IW19_PF17913_8_101_fpocket_6,0.2192
12408,PDB-PD,P51858_PF00855_13_94_fpocket_6,0.2192
12409,AF2-PD,O75366_PF00626_263_340_fpocket_4,0.2192
12410,PDB-PD,Q8WXG8_PF01023_5_49_fpocket_1,0.2192
12411,AF2-PD,Q15633_PF00035_31_95_fpocket_1,0.2192
12412,PDB-PD,Q9Y4X5_PF01485_322_390_fpocket_4,0.2192
12413,AF2-PD,Q99717_PF03165_31_132_fpocket_1,0.2192
12414,AF2-PD,Q9BY67_PF13927_242_317_fpocket_2,0.2192
12415,PDB-PD,Q86US8_PF13638_1248_1409_fpocket_5,0.2192
12416,AF2-PD,Q6UWL2_PF00084_239_294_fpocket_1,0.2192
12417,AF2-PD,Q9Y6N6_PF00052_539_671_fpocket_12,0.2192
12418,AF2-PD,A0A075B6I6_PF07686_24_117_fpocket_2,0.2192
12419,PDB-PD,P11388_PF02518_76_225_fpocket_8,0.2192
12420,PDB-PD,Q9UBD5_PF07034_18_344_fpocket_1,0.2192
12421,AF2-PD,P54274_PF00249_380_428_fpocket_2,0.2192
12422,PDB-PD,P08631_PF00017_144_226_fpocket_1,0.2192
12423,AF2-PD,P05067_PF00014_290_342_fpocket_1,0.2192
12424,AF2-PD,Q8IX18_PF00270_53_221_fpocket_3,0.2192
12425,PDB-PD,P36776_PF05362_736_949_fpocket_4,0.2192
12426,AF2-PD,P26378_PF00076_304_374_fpocket_1,0.2192
12427,PDB-PD,P26992_PF00041_205_294_fpocket_3,0.2192
12428,PDB-PD,P56524_PF00850_675_992_fpocket_22,0.2192
12429,AF2-PD,Q05823_PF00069_368_524_fpocket_4,0.2192
12430,AF2-PD,Q96C11_PF02782_289_497_fpocket_8,0.2192
12431,AF2-PD,Q8IX18_PF04408_463_560_fpocket_1,0.2192
12432,AF2-PD,Q9H511_PF07707_172_273_fpocket_5,0.2192
12433,PDB-PD,P45844_PF00005_101_245_fpocket_7,0.2192
12434,AF2-PD,Q14511_PF08824_404_560_fpocket_1,0.2192
12435,PDB-PD,P52788_PF01564_174_366_fpocket_1,0.2192
12436,AF2-PD,O15535_PF00096_366_388_fpocket_1,0.2192
12437,PDB-PD,Q9UPW6_PF02376_478_557_fpocket_2,0.2193
12438,PDB-PD,P35998_PF17862_367_411_fpocket_1,0.2193
12439,AF2-PD,Q14409_PF02782_275_467_fpocket_1,0.2193
12440,AF2-PD,O95067_PF00134_137_262_fpocket_1,0.2193
12441,AF2-PD,Q08426_PF00725_478_582_fpocket_5,0.2193
12442,AF2-PD,P15621_PF00096_329_351_fpocket_2,0.2193
12443,AF2-PD,Q9Y3S1_PF12202_474_537_fpocket_2,0.2193
12444,AF2-PD,P63128_PF00692_666_770_fpocket_3,0.2193
12445,AF2-PD,Q8N3J6_PF07686_28_121_fpocket_1,0.2193
12446,PDB-PD,O95376_PF01485_279_340_fpocket_1,0.2193
12447,AF2-PD,P34925_PF07714_330_596_fpocket_9,0.2193
12448,PDB-PD,Q9BYX4_PF00619_115_200_fpocket_1,0.2193
12449,AF2-PD,P55286_PF00028_281_383_fpocket_3,0.2193
12450,PDB-PD,Q8IU54_PF15177_31_187_fpocket_5,0.2193
12451,PDB-PD,Q13332_PF00102_1705_1938_fpocket_4,0.2193
12452,AF2-PD,P52630_PF00017_576_648_fpocket_3,0.2193
12453,AF2-PD,Q9Y5M8_PF09439_62_241_fpocket_2,0.2193
12454,AF2-PD,P23246_PF00076_299_363_fpocket_5,0.2193
12455,AF2-PD,Q6W4X9_PF01826_302_357_fpocket_1,0.2193
12456,PDB-PD,O95602_PF04998_958_1670_fpocket_14,0.2193
12457,PDB-PD,P10586_PF00041_513_594_fpocket_4,0.2193
12458,AF2-PD,P26927_PF00024_16_106_fpocket_5,0.2193
12459,AF2-PD,P13631_PF00105_88_157_fpocket_1,0.2193
12460,PDB-PD,O75970_PF00595_1725_1804_fpocket_3,0.2193
12461,PDB-PD,Q8IYM2_PF04326_200_335_fpocket_1,0.2193
12462,PDB-PD,P10144_PF00089_21_240_fpocket_1,0.2193
12463,PDB-PD,O60481_PF18366_244_290_fpocket_3,0.2193
12464,PDB-PD,P12314_PF00047_195_275_fpocket_1,0.2193
12465,AF2-PD,Q13813_PF00435_1339_1443_fpocket_4,0.2193
12466,AF2-PD,Q9BY60_PF02991_13_116_fpocket_9,0.2193
12467,AF2-PD,Q92560_PF01088_5_215_fpocket_12,0.2193
12468,PDB-PD,P07225_PF07645_243_282_fpocket_1,0.2193
12469,AF2-PD,Q5TD97_PF00412_163_218_fpocket_1,0.2193
12470,AF2-PD,O95319_PF00076_42_113_fpocket_3,0.2193
12471,AF2-PD,Q9H4L4_PF02902_400_572_fpocket_10,0.2193
12472,AF2-PD,Q3MHD2_PF09793_80_165_fpocket_1,0.2193
12473,AF2-PD,Q8N2E2_PF00094_425_582_fpocket_1,0.2193
12474,PDB-PD,Q8NBP7_PF18463_602_682_fpocket_2,0.2193
12475,AF2-PD,P06746_PF14792_149_262_fpocket_3,0.2193
12476,AF2-PD,Q6ZTQ4_PF00028_466_557_fpocket_6,0.2193
12477,AF2-PD,Q9NZN4_PF00350_61_221_fpocket_2,0.2193
12478,AF2-PD,Q96CJ1_PF09816_15_115_fpocket_1,0.2193
12479,PDB-PD,Q05397_PF18038_35_130_fpocket_7,0.2193
12480,AF2-PD,P52742_PF00096_466_488_fpocket_1,0.2193
12481,PDB-PD,Q9BRK3_PF07686_169_292_fpocket_1,0.2193
12482,AF2-PD,Q9HCJ6_PF08240_68_144_fpocket_1,0.2193
12483,AF2-PD,Q2TBA0_PF07707_133_239_fpocket_10,0.2193
12484,AF2-PD,P13765_PF07654_125_206_fpocket_2,0.2193
12485,PDB-PD,P19878_PF00018_463_508_fpocket_3,0.2193
12486,AF2-PD,O95786_PF00271_609_734_fpocket_5,0.2193
12487,PDB-PD,O75449_PF09336_439_489_fpocket_2,0.2193
12488,AF2-PD,Q8ND23_PF17888_25_118_fpocket_1,0.2193
12489,AF2-PD,P0CW18_PF00089_105_332_fpocket_6,0.2193
12490,AF2-PD,P33151_PF00028_156_249_fpocket_1,0.2193
12491,PDB-PD,Q9Y6H5_PF16700_512_559_fpocket_1,0.2193
12492,AF2-PD,Q8N3D4_PF12130_1363_1499_fpocket_1,0.2193
12493,AF2-PD,Q8IYS1_PF07687_204_301_fpocket_10,0.2193
12494,PDB-LIG,P53396_PF00285_883_1086_pocket_0,0.2193
12495,AF2-PD,Q8WWN8_PF00169_288_379_fpocket_6,0.2193
12496,AF2-PD,Q86YQ8_PF00168_159_267_fpocket_1,0.2193
12497,AF2-PD,Q9C035_PF15227_15_58_fpocket_2,0.2193
12498,PDB-PD,Q8WXD9_PF00536_470_533_fpocket_1,0.2193
12499,AF2-PD,O95208_PF01417_17_140_fpocket_7,0.2193
12500,AF2-PD,P43146_PF00041_946_1034_fpocket_1,0.2193
12501,AF2-PD,O95394_PF02878_103_199_fpocket_5,0.2193
12502,AF2-PD,P61024_PF01111_6_73_fpocket_2,0.2193
12503,AF2-PD,Q96N22_PF00096_313_332_fpocket_2,0.2193
12504,PDB-PD,Q8TDZ2_PF00412_697_754_fpocket_2,0.2193
12505,PDB-PD,P48059_PF00412_135_188_fpocket_1,0.2193
12506,AF2-PD,Q9BYB0_PF00536_1666_1729_fpocket_3,0.2193
12507,AF2-PD,P33240_PF14304_533_573_fpocket_1,0.2193
12508,AF2-PD,O00401_PF00568_31_138_fpocket_8,0.2193
12509,AF2-PD,Q9Y2U5_PF00069_356_616_fpocket_2,0.2194
12510,AF2-PD,Q9H9H4_PF07200_11_156_fpocket_9,0.2194
12511,AF2-PD,P40967_PF00801_225_301_fpocket_3,0.2194
12512,PDB-LIG,O95398_PF00027_265_349_pocket_0,0.2194
12513,AF2-PD,P52564_PF00069_53_314_fpocket_9,0.2194
12514,AF2-PD,Q9Y394_PF00106_51_250_fpocket_1,0.2194
12515,AF2-PD,P14410_PF16863_125_235_fpocket_3,0.2194
12516,AF2-PD,P0C0L5_PF01759_1615_1725_fpocket_3,0.2194
12517,AF2-PD,P31327_PF02786_546_750_fpocket_2,0.2194
12518,PDB-PD,Q8WVV9_PF11835_159_244_fpocket_3,0.2194
12519,AF2-PD,Q9NWL6_PF00733_508_628_fpocket_5,0.2194
12520,AF2-PD,Q01780_PF08066_44_133_fpocket_1,0.2194
12521,AF2-PD,P15882_PF00017_50_119_fpocket_3,0.2194
12522,AF2-PD,P56470_PF00337_193_323_fpocket_1,0.2194
12523,PDB-LIG,O15550_PF02373_1133_1241_pocket_0,0.2194
12524,AF2-PD,Q08289_PF00625_280_460_fpocket_3,0.2194
12525,AF2-PD,O95479_PF01182_558_782_fpocket_16,0.2194
12526,AF2-PD,Q9H334_PF16159_302_370_fpocket_3,0.2194
12527,PDB-PD,P78368_PF00069_46_299_fpocket_9,0.2194
12528,AF2-PD,O00712_PF03165_69_173_fpocket_6,0.2194
12529,AF2-PD,P16109_PF00059_49_160_fpocket_1,0.2194
12530,PDB-LIG,Q9BY41_PF00850_31_322_pocket_0,0.2194
12531,AF2-PD,O00442_PF05189_184_286_fpocket_1,0.2194
12532,AF2-PD,Q9Y3R0_PF00595_1004_1083_fpocket_1,0.2194
12533,AF2-PD,Q9UK13_PF00096_282_304_fpocket_1,0.2194
12534,AF2-PD,Q6NUM6_PF00258_43_186_fpocket_8,0.2194
12535,PDB-PD,O43143_PF07717_689_765_fpocket_2,0.2194
12536,AF2-PD,P13671_PF00084_705_761_fpocket_3,0.2194
12537,AF2-PD,P40394_PF00107_214_350_fpocket_6,0.2194
12538,PDB-PD,Q9Y2H6_PF00041_267_359_fpocket_3,0.2194
12539,AF2-PD,Q9BYV2_PF00643_121_163_fpocket_2,0.2194
12540,AF2-PD,O43298_PF00651_23_127_fpocket_4,0.2194
12541,AF2-PD,Q9NP64_PF00575_13_86_fpocket_3,0.2194
12542,AF2-PD,Q96SE7_PF00096_737_759_fpocket_1,0.2194
12543,AF2-PD,Q9NZC7_PF00397_18_47_fpocket_1,0.2194
12544,PDB-PD,O76003_PF00085_13_114_fpocket_1,0.2194
12545,PDB-PD,O75962_PF00169_2159_2271_fpocket_5,0.2194
12546,AF2-PD,Q8IYM2_PF04326_200_335_fpocket_11,0.2194
12547,PDB-PD,O95396_PF00581_337_452_fpocket_4,0.2194
12548,AF2-PD,Q58EX2_PF00041_994_1083_fpocket_1,0.2194
12549,AF2-PD,Q06136_PF00106_33_232_fpocket_4,0.2194
12550,AF2-PD,Q8N371_PF13621_192_416_fpocket_5,0.2194
12551,PDB-PD,Q7L523_PF04670_9_235_fpocket_2,0.2194
12552,AF2-PD,P0CJ78_PF00096_378_400_fpocket_1,0.2194
12553,PDB-PD,O14917_PF08266_20_112_fpocket_5,0.2194
12554,AF2-PD,Q9HC56_PF00028_577_666_fpocket_1,0.2194
12555,PDB-PD,P17542_PF00010_188_240_fpocket_2,0.2194
12556,PDB-PD,Q8N5S9_PF00069_128_409_fpocket_2,0.2194
12557,AF2-PD,Q6P996_PF00282_167_318_fpocket_3,0.2194
12558,PDB-PD,Q06787_PF00013_283_333_fpocket_4,0.2194
12559,AF2-PD,P01737_PF07686_25_113_fpocket_2,0.2194
12560,AF2-PD,Q9Y6U3_PF00626_626_704_fpocket_2,0.2194
12561,AF2-PD,Q13075_PF05729_464_618_fpocket_1,0.2194
12562,AF2-PD,P58317_PF00096_256_278_fpocket_2,0.2194
12563,AF2-PD,A8MZ59_PF00046_9_65_fpocket_3,0.2194
12564,AF2-PD,Q02246_PF07679_421_505_fpocket_2,0.2194
12565,PDB-PD,Q92922_PF04433_452_537_fpocket_1,0.2194
12566,PDB-PD,Q8N5A5_PF18044_178_199_fpocket_2,0.2194
12567,PDB-PD,Q96HY7_PF02779_567_773_fpocket_5,0.2194
12568,AF2-PD,O60449_PF00040_169_209_fpocket_1,0.2194
12569,AF2-PD,Q9BSJ8_PF00168_329_435_fpocket_3,0.2194
12570,AF2-PD,Q9Y5R2_PF00413_162_327_fpocket_1,0.2194
12571,AF2-PD,Q8NFP4_PF13927_131_217_fpocket_3,0.2194
12572,AF2-PD,P02751_PF00041_998_1078_fpocket_1,0.2194
12573,PDB-PD,P01024_PF07703_456_605_fpocket_3,0.2194
12574,AF2-PD,Q9P0M2_PF10469_85_283_fpocket_14,0.2194
12575,AF2-PD,Q96LA6_PF13927_113_187_fpocket_1,0.2194
12576,PDB-PD,Q17RY0_PF16367_471_560_fpocket_1,0.2194
12577,AF2-PD,F5H284_PF00160_7_163_fpocket_7,0.2195
12578,AF2-LIG,O14744_PF05185_295_464_pocket_1,0.2195
12579,PDB-PD,P31153_PF02773_252_389_fpocket_8,0.2195
12580,PDB-PD,O60264_PF00271_483_597_fpocket_3,0.2195
12581,AF2-PD,Q4G0G5_PF01099_1_91_fpocket_6,0.2195
12582,AF2-PD,Q6P9G9_PF00096_351_373_fpocket_1,0.2195
12583,AF2-PD,Q9UJW8_PF00096_493_515_fpocket_1,0.2195
12584,PDB-LIG,P30530_PF07714_536_803_pocket_0,0.2195
12585,PDB-PD,O94925_PF04960_244_530_fpocket_11,0.2195
12586,PDB-PD,Q00536_PF00069_165_446_fpocket_1,0.2195
12587,AF2-PD,Q15052_PF07653_164_217_fpocket_3,0.2195
12588,AF2-PD,O75309_PF00028_456_556_fpocket_1,0.2195
12589,AF2-PD,P16499_PF00233_558_802_fpocket_3,0.2195
12590,PDB-PD,P04275_PF00092_1691_1862_fpocket_2,0.2195
12591,AF2-PD,Q9UEE5_PF00069_62_321_fpocket_8,0.2195
12592,AF2-PD,O15117_PF07653_515_570_fpocket_1,0.2195
12593,AF2-PD,O14709_PF00096_566_588_fpocket_1,0.2195
12594,AF2-PD,Q8NFH5_PF05172_167_252_fpocket_5,0.2195
12595,AF2-PD,Q9Y3M9_PF00096_516_538_fpocket_1,0.2195
12596,AF2-PD,P08134_PF00071_7_180_fpocket_3,0.2195
12597,AF2-PD,Q9BYE9_PF00028_590_686_fpocket_1,0.2195
12598,PDB-PD,Q9H5X1_PF01883_38_116_fpocket_6,0.2195
12599,AF2-PD,P59510_PF19030_908_965_fpocket_3,0.2195
12600,AF2-PD,Q7L1T6_PF00173_58_130_fpocket_1,0.2195
12601,PDB-PD,P27144_PF05191_126_161_fpocket_2,0.2195
12602,AF2-PD,O43164_PF13639_632_675_fpocket_1,0.2195
12603,AF2-PD,P38398_PF00097_24_64_fpocket_1,0.2195
12604,AF2-PD,P20472_PF13499_41_108_fpocket_4,0.2195
12605,PDB-PD,P54762_PF00041_434_518_fpocket_3,0.2195
12606,AF2-PD,P0DN37_PF00160_7_163_fpocket_3,0.2195
12607,AF2-PD,P02679_PF00147_175_415_fpocket_1,0.2195
12608,AF2-PD,Q13464_PF00069_76_338_fpocket_3,0.2195
12609,AF2-PD,Q8WX93_PF07679_1135_1225_fpocket_2,0.2195
12610,AF2-PD,P55290_PF00028_368_469_fpocket_2,0.2195
12611,AF2-PD,Q14929_PF00096_570_595_fpocket_3,0.2195
12612,AF2-PD,Q13619_PF10557_691_751_fpocket_3,0.2195
12613,AF2-PD,O00401_PF00568_31_138_fpocket_4,0.2195
12614,PDB-PD,P15814_PF07654_116_201_fpocket_1,0.2195
12615,AF2-PD,A0A0C4DH26_PF07686_26_115_fpocket_4,0.2195
12616,PDB-PD,P63010_PF09066_827_935_fpocket_1,0.2195
12617,PDB-PD,Q13642_PF00412_40_97_fpocket_1,0.2195
12618,AF2-PD,Q7Z6J0_PF14604_452_502_fpocket_1,0.2195
12619,PDB-PD,Q8NEU8_PF00169_278_375_fpocket_2,0.2195
12620,AF2-PD,P49773_PF01230_24_121_fpocket_4,0.2195
12621,PDB-PD,A6H8Y1_PF15963_293_399_fpocket_3,0.2195
12622,AF2-PD,Q9UJF2_PF00168_169_269_fpocket_6,0.2195
12623,AF2-LIG,P15538_PF00067_42_498_pocket_0,0.2195
12624,AF2-PD,O15400_PF14523_18_119_fpocket_1,0.2195
12625,AF2-PD,Q12829_PF07525_188_223_fpocket_1,0.2195
12626,AF2-PD,Q9HCL0_PF00028_470_567_fpocket_2,0.2195
12627,PDB-LIG,Q8N6R0_PF01564_472_628_pocket_0,0.2195
12628,PDB-PD,Q9UBN7_PF02148_1133_1195_fpocket_2,0.2195
12629,AF2-PD,P56559_PF00025_1_179_fpocket_1,0.2195
12630,AF2-PD,Q96RF0_PF00787_300_382_fpocket_1,0.2195
12631,AF2-LIG,Q14141_PF00735_39_312_pocket_0,0.2195
12632,AF2-PD,Q9UPN6_PF00076_479_545_fpocket_5,0.2195
12633,AF2-LIG,Q92835_PF03372_409_701_pocket_3,0.2195
12634,AF2-PD,Q15147_PF09279_209_305_fpocket_2,0.2195
12635,AF2-PD,P19235_PF00041_146_232_fpocket_1,0.2195
12636,AF2-PD,A6NHQ2_PF01269_100_327_fpocket_2,0.2195
12637,AF2-PD,P49711_PF13909_351_375_fpocket_1,0.2195
12638,AF2-PD,Q9UC06_PF00096_196_218_fpocket_1,0.2195
12639,AF2-PD,Q9UMS4_PF08606_67_134_fpocket_2,0.2195
12640,AF2-LIG,Q6PHR2_PF00069_14_270_pocket_0,0.2195
12641,PDB-PD,P16104_PF00125_2_91_fpocket_1,0.2195
12642,AF2-PD,Q53EL9_PF00084_532_589_fpocket_1,0.2195
12643,AF2-PD,Q9H816_PF07522_245_301_fpocket_4,0.2195
12644,AF2-PD,P22087_PF01269_88_315_fpocket_8,0.2195
12645,PDB-PD,Q9NW64_PF00076_234_299_fpocket_1,0.2196
12646,PDB-PD,Q9UDT6_PF01302_221_285_fpocket_2,0.2196
12647,AF2-PD,Q13424_PF18012_208_266_fpocket_1,0.2196
12648,AF2-PD,Q8TF46_PF17216_224_323_fpocket_6,0.2196
12649,PDB-LIG,Q8TE76_PF13589_48_182_pocket_0,0.2196
12650,PDB-PD,Q15434_PF00076_58_123_fpocket_2,0.2196
12651,AF2-PD,Q6ZMM2_PF01759_374_477_fpocket_6,0.2196
12652,PDB-PD,P21675_PF00439_1389_1472_fpocket_3,0.2196
12653,PDB-PD,O14497_PF01388_1019_1104_fpocket_1,0.2196
12654,AF2-LIG,Q96HU8_PF00071_9_171_pocket_0,0.2196
12655,AF2-PD,O94880_PF13832_383_498_fpocket_2,0.2196
12656,PDB-PD,O95407_PF00020_153_193_fpocket_1,0.2196
12657,AF2-PD,Q9P2J8_PF00096_584_606_fpocket_1,0.2196
12658,AF2-PD,Q6SZW1_PF07647_409_474_fpocket_1,0.2196
12659,PDB-PD,Q86UW9_PF00097_412_472_fpocket_1,0.2196
12660,AF2-PD,Q2TB90_PF03727_225_459_fpocket_1,0.2196
12661,PDB-PD,O95259_PF13426_30_135_fpocket_4,0.2196
12662,AF2-PD,P16144_PF00362_125_370_fpocket_14,0.2196
12663,PDB-PD,Q9UNN5_PF00789_568_648_fpocket_3,0.2196
12664,PDB-LIG,P55210_PF00656_67_300_pocket_0,0.2196
12665,AF2-PD,P55285_PF00028_273_375_fpocket_1,0.2196
12666,AF2-PD,P11464_PF13895_334_413_fpocket_3,0.2196
12667,AF2-PD,Q9H329_PF00373_167_277_fpocket_3,0.2196
12668,AF2-PD,Q8IWV2_PF00041_598_686_fpocket_1,0.2196
12669,AF2-PD,Q9Y2F9_PF00651_111_220_fpocket_1,0.2196
12670,PDB-PD,Q13188_PF00069_27_278_fpocket_2,0.2196
12671,PDB-PD,Q96HN2_PF05221_185_322_fpocket_1,0.2196
12672,AF2-PD,O95925_PF00095_29_72_fpocket_1,0.2196
12673,AF2-PD,P22314_PF00899_55_446_fpocket_17,0.2196
12674,AF2-PD,Q13283_PF00076_342_406_fpocket_3,0.2196
12675,AF2-PD,Q9GZV8_PF00096_546_568_fpocket_1,0.2196
12676,AF2-PD,P20702_PF00092_151_328_fpocket_5,0.2196
12677,PDB-LIG,Q96NX5_PF00069_23_277_pocket_0,0.2196
12678,AF2-PD,O75095_PF14670_165_200_fpocket_2,0.2196
12679,AF2-PD,Q14185_PF00018_15_62_fpocket_2,0.2196
12680,AF2-PD,Q9BW19_PF00225_349_663_fpocket_1,0.2196
12681,AF2-PD,P09210_PF00043_99_192_fpocket_3,0.2196
12682,AF2-LIG,P62136_PF00149_57_252_pocket_0,0.2196
12683,AF2-PD,Q9H3R0_PF18104_940_974_fpocket_1,0.2196
12684,AF2-PD,Q9Y5G5_PF00028_354_443_fpocket_3,0.2196
