	domain	reference	fpocket	drug score	prank rescore	buriedness
3102	P09172_PF03712_360_516	4ZEL_A	fpocket6	0.034	3.9856	15
3103	P09210_PF00043_99_192	4ACS_C	fpocket1	0.92	9.1161	16
3104	P09210_PF00043_99_192	4ACS_C	fpocket6	0.0	1.0897	10
3105	P09210_PF02798_5_77	4ACS_C	fpocket6	0.0	3.2227	11
3106	P09210_PF02798_5_77	4ACS_C	fpocket2	0.0	3.2203	13
3107	P09211_PF02798_4_75	5J41_A	fpocket1	0.03	5.2522	16
3108	P09211_PF02798_4_75	5J41_A	fpocket2	0.087	1.1573	14
3109	P09211_PF14497_98_197	5J41_A	fpocket1	0.679	2.8694	18
3110	P09211_PF14497_98_197	5J41_A	fpocket2	0.0	1.8124	16
3111	P09234_PF06220_1_38	4PJO_L	fpocket1	0.273	9.9192	13
3112	P09234_PF06220_1_38	4PJO_L	fpocket3	0.004	4.458	14
3113	P09237_PF00413_103_259	2Y6D_A	fpocket4	0.052	22.2933	22
3114	P09237_PF00413_103_259	2Y6D_A	fpocket2	0.013	7.7886	19
3115	P09237_PF01471_28_82	2MZE_A	fpocket1	0.592	5.212	21
3116	P09237_PF01471_28_82	2MZE_A	fpocket3	0.001	2.5933	16
3117	P09238_PF00413_107_263	3V96_B	fpocket4	0.019	15.0896	16
3118	P09238_PF00413_107_263	3V96_B	fpocket2	0.504	12.7367	22
3119	P09326_PF07686_30_128	2EDO_A	fpocket2	0.0	2.6994	11
3120	P09326_PF07686_30_128	2EDO_A	fpocket4	0.0	2.4254	14
3121	P09327_PF00626_630_708	3FG7_A	fpocket3	0.114	17.5737	19
3122	P09327_PF00626_630_708	3FG7_A	fpocket4	0.0	2.0773	13
3123	P09327_PF02209_792_827	1UNC_A	fpocket1	0.305	2.6076	15
3124	P09341_PF00048_41_100	1MSH_B	fpocket2	0.169	3.6567	18
3125	P09341_PF00048_41_100	1MSH_B	fpocket3	0.035	3.0567	20
3126	P09382_PF00337_5_134	4Q27_A	fpocket2	0.166	10.1577	17
3127	P09382_PF00337_5_134	4Q27_A	fpocket1	0.032	2.0169	14
3128	P09417_PF00106_11_198	1HDR_A	fpocket9	0.977	40.3824	19
3129	P09417_PF00106_11_198	1HDR_A	fpocket2	0.001	5.0123	17
3130	P09429_PF00505_95_163	6CIK_N	fpocket1	0.079	3.71	15
3131	P09429_PF00505_95_163	6CIK_N	fpocket4	0.009	2.0128	16
3132	P09429_PF09011_6_79	6CIJ_N	fpocket3	0.0	5.0483	12
3133	P09429_PF09011_6_79	6CIJ_N	fpocket2	0.443	3.7114	18
3134	P09455_PF00061_6_134	5HBS_A	fpocket1	0.661	27.3862	25
3135	P09455_PF00061_6_134	5HBS_A	fpocket4	0.005	14.4296	25
3136	P09466_PF00061_34_175	4R0B_A	fpocket11	0.031	5.7494	16
3137	P09466_PF00061_34_175	4R0B_A	fpocket10	0.259	5.0149	18
3138	P09467_PF00316_12_199	7C9Q_A	fpocket3	0.574	12.8626	23
3139	P09467_PF00316_12_199	7C9Q_A	fpocket1	0.473	7.6191	18
3140	P09467_PF18913_203_333	7C9Q_A	fpocket2	0.547	7.1936	19
3141	P09467_PF18913_203_333	7C9Q_A	fpocket1	0.006	7.0459	22
3142	P09486_PF00050_95_149	1NUB_A	fpocket1	0.204	3.0226	16
3143	P09486_PF00050_95_149	1NUB_A	fpocket2	0.001	2.1784	16
3144	P09486_PF10591_152_289	1SRA_A	fpocket2	0.331	7.6946	23
3145	P09486_PF10591_152_289	1SRA_A	fpocket6	0.053	7.3063	14
3146	P09488_PF02798_3_82	7BEU_A	fpocket1	0.044	3.7567	12
3147	P09488_PF02798_3_82	7BEU_A	fpocket2	0.146	1.1163	13
3148	P09488_PF14497_105_201	7BEU_A	fpocket5	0.535	3.2922	11
3149	P09488_PF14497_105_201	7BEU_A	fpocket2	0.051	2.3743	16
3150	P09525_PF00191_173_239	2ZOC_A	fpocket2	0.021	1.9593	18
3151	P09525_PF00191_173_239	2ZOC_A	fpocket1	0.001	0.4015	14
3152	P09525_PF00191_18_83	2ZOC_A	fpocket4	0.0	3.6602	14
3153	P09525_PF00191_18_83	2ZOC_A	fpocket2	0.388	2.6989	20
3154	P09525_PF00191_249_314	2ZOC_A	fpocket3	0.012	4.0481	19
3155	P09525_PF00191_249_314	2ZOC_A	fpocket1	0.025	4.0297	14
3156	P09525_PF00191_90_155	2ZOC_A	fpocket2	0.0	2.6257	16
3157	P09525_PF00191_90_155	2ZOC_A	fpocket1	0.494	2.0587	10
3158	P09601_PF01126_11_216	1N45_A	fpocket14	0.904	76.0641	18
3159	P09601_PF01126_11_216	1N45_A	fpocket6	0.087	13.54	24
3160	P09603_PF05337_41_180	5LXF_A	fpocket1	0.001	4.8449	15
3161	P09603_PF05337_41_180	5LXF_A	fpocket3	0.005	2.8942	16
3162	P09619_PF00047_37_114	3MJG_X	fpocket6	0.309	11.8536	19
3163	P09619_PF00047_37_114	3MJG_X	fpocket4	0.0	4.9271	14
3164	P09619_PF13927_213_295	3MJG_X	fpocket1	0.35	4.9944	22
3165	P09619_PF13927_213_295	3MJG_X	fpocket2	0.0	1.3578	15
3166	P09622_PF02852_389_498	6I4R_A	fpocket5	0.669	4.0587	15
3167	P09622_PF02852_389_498	6I4R_A	fpocket3	0.001	3.0939	21
3168	P09622_PF07992_42_370	6I4R_A	fpocket1	0.988	78.45	32
3169	P09622_PF07992_42_370	6I4R_A	fpocket11	0.291	36.9012	23
3170	P09651_PF00076_107_176	1L3K_A	fpocket1	0.164	3.1253	18
3171	P09651_PF00076_107_176	1L3K_A	fpocket2	0.0	0.615	15
3172	P09651_PF00076_16_85	1L3K_A	fpocket1	0.02	1.1097	13
3173	P09651_PF00076_16_85	1L3K_A	fpocket2	0.015	0.9432	10
3174	P09668_PF00112_116_332	6CZS_A	fpocket3	0.0	6.4507	22
3175	P09668_PF00112_116_332	6CZS_A	fpocket2	0.424	5.2815	14
3176	P09668_PF08246_35_90	6CZS_A	fpocket1	0.037	8.9114	18
3177	P09668_PF08246_35_90	6CZS_A	fpocket2	0.159	3.4685	13
3178	P09693_PF16680_39_110	6JXR_g	fpocket4	0.008	1.2375	14
3179	P09693_PF16680_39_110	6JXR_g	fpocket2	0.124	0.9203	16
3180	P09758_PF00086_73_145	7PEE_A	fpocket1	0.143	8.6242	15
3181	P09758_PF00086_73_145	7PEE_A	fpocket2	0.0	1.7026	6
3182	P09769_PF00018_83_130	7JT9_A	fpocket2	0.004	4.7534	12
3183	P09769_PF00018_83_130	7JT9_A	fpocket1	0.264	3.6432	16
3184	P09871_PF00084_294_354	4LOS_A	fpocket1	0.601	4.673	21
3185	P09871_PF00084_294_354	4LOS_A	fpocket2	0.042	3.2175	12
3186	P09871_PF00084_359_421	1ELV_A	fpocket1	0.026	2.5953	17
3187	P09871_PF00084_359_421	1ELV_A	fpocket2	0.062	0.9116	14
3188	P09871_PF00089_438_675	4J1Y_A	fpocket3	0.852	8.0514	18
3189	P09871_PF00089_438_675	4J1Y_A	fpocket10	0.824	5.6531	19
3190	P09871_PF00431_16_127	1NZI_A	fpocket5	0.017	5.1468	8
3191	P09871_PF00431_16_127	1NZI_A	fpocket7	0.0	2.4826	12
3192	P09871_PF00431_175_287	4LOS_A	fpocket2	0.0	1.8011	10
3193	P09871_PF00431_175_287	4LOS_A	fpocket3	0.018	1.3833	18
3194	P09874_PF00645_116_199	3ODC_A	fpocket1	0.047	4.6478	17
3195	P09874_PF00645_116_199	3ODC_A	fpocket2	0.014	2.5868	17
3196	P09874_PF00645_12_89	3OD8_B	fpocket1	0.157	7.2649	18
3197	P09874_PF00645_12_89	3OD8_B	fpocket3	0.007	1.1655	12
3198	P09874_PF02877_663_794	7AAC_A	fpocket8	0.015	2.5153	17
3199	P09874_PF02877_663_794	7AAC_A	fpocket6	0.001	1.9092	16
3200	P09874_PF05406_553_633	4DQY_C	fpocket2	0.004	4.4994	13
3201	P09874_PF05406_553_633	4DQY_C	fpocket1	0.46	4.2546	14
3202	P09874_PF08063_280_331	2RIQ_A	fpocket1	0.065	8.9972	19
3203	P09874_PF08063_280_331	2RIQ_A	fpocket2	0.001	2.8442	14
3204	P09884_PF08996_1265_1455	5EXR_C	fpocket15	0.503	15.0319	21
3205	P09884_PF08996_1265_1455	5EXR_C	fpocket1	0.577	11.1806	19
3206	P09917_PF00305_216_662	3V98_A	fpocket35	0.392	54.1267	21
3207	P09917_PF00305_216_662	3V98_A	fpocket1	0.002	26.5907	15
3208	P09917_PF01477_4_113	6N2W_A	fpocket2	0.834	4.3636	17
3209	P09917_PF01477_4_113	6N2W_A	fpocket4	0.003	2.5099	13
3210	P09919_PF16647_51_202	5GW9_A	fpocket1	0.479	7.9767	12
3211	P09919_PF16647_51_202	5GW9_A	fpocket2	0.002	3.6545	21
3212	P09936_PF01088_3_206	4JKJ_A	fpocket1	0.602	21.2389	22
3213	P09936_PF01088_3_206	4JKJ_A	fpocket2	0.474	16.9766	23
3214	P09958_PF00082_144_427	7LCU_A	fpocket1	0.449	12.3605	23
3215	P09958_PF00082_144_427	7LCU_A	fpocket3	0.005	12.204	17
3216	P09960_PF01433_233_448	3U9W_A	fpocket13	0.004	27.9488	15
3217	P09960_PF01433_233_448	3U9W_A	fpocket6	0.001	24.5835	19
3218	P09960_PF17900_18_202	3U9W_A	fpocket9	0.903	27.0666	18
3219	P09960_PF17900_18_202	3U9W_A	fpocket5	0.001	5.6944	22
3220	P09972_PF00274_15_364	1XFB_K	fpocket5	0.0	40.6384	21
3221	P09972_PF00274_15_364	1XFB_K	fpocket1	0.001	10.9294	21
3222	P0C024_PF00293_38_166	5QHH_A	fpocket5	0.028	5.9777	12
3223	P0C024_PF00293_38_166	5QHH_A	fpocket3	0.001	5.4867	24
3224	P0C025_PF00293_90_234	5LF8_A	fpocket1	0.421	21.3979	22
3225	P0C025_PF00293_90_234	5LF8_A	fpocket9	0.0	8.9519	18
3226	P0C0L4_PF01759_1615_1725	5JTW_C	fpocket4	0.0	7.4269	15
3227	P0C0L4_PF01759_1615_1725	5JTW_C	fpocket1	0.046	3.8445	15
3228	P0C0L4_PF01821_702_736	4FXK_B	fpocket1	0.191	2.7746	12
3229	P0C0L4_PF01835_140_233	7B2M_A	fpocket2	0.003	3.7009	14
3230	P0C0L4_PF01835_140_233	7B2M_A	fpocket1	0.093	2.1301	17
3231	P0C0L4_PF07677_1479_1571	7B2M_C	fpocket1	0.193	5.2439	16
3232	P0C0L4_PF07677_1479_1571	7B2M_C	fpocket4	0.015	3.6546	18
3233	P0C0L4_PF07703_473_611	7B2M_A	fpocket8	0.065	6.5599	11
3234	P0C0L4_PF07703_473_611	7B2M_A	fpocket9	0.018	4.4434	12
3235	P0C0L4_PF17789_369_460	7B2M_A	fpocket3	0.006	3.3542	11
3236	P0C0L4_PF17789_369_460	7B2M_A	fpocket1	0.319	2.5143	14
3237	P0C0L4_PF17791_235_323	7B2M_A	fpocket3	0.046	2.9869	9
3238	P0C0L4_PF17791_235_323	7B2M_A	fpocket1	0.953	2.7075	18
3239	P0C0L5_PF01759_1615_1725	6YSQ_E	fpocket2	0.575	5.6547	16
3240	P0C0L5_PF01759_1615_1725	6YSQ_E	fpocket4	0.048	2.1354	15
3241	P0C0L5_PF01835_140_233	6YSQ_A	fpocket4	0.007	3.3316	15
3242	P0C0L5_PF01835_140_233	6YSQ_A	fpocket7	0.004	3.2765	21
3243	P0C0L5_PF07677_1479_1571	6YSQ_E	fpocket4	0.05	3.9771	14
3244	P0C0L5_PF07677_1479_1571	6YSQ_E	fpocket3	0.487	2.972	13
3245	P0C0L5_PF07703_473_611	6YSQ_A	fpocket3	0.013	7.1416	14
3246	P0C0L5_PF07703_473_611	6YSQ_A	fpocket6	0.032	4.9104	13
3247	P0C0L5_PF17789_369_460	6YSQ_A	fpocket1	0.369	3.371	17
3248	P0C0L5_PF17789_369_460	6YSQ_A	fpocket2	0.004	2.297	18
3249	P0C0L5_PF17791_235_323	6YSQ_A	fpocket2	0.932	5.336	17
3250	P0C0L5_PF17791_235_323	6YSQ_A	fpocket1	0.002	3.5052	13
3251	P0C0S5_PF00125_4_94	5CHL_B	fpocket5	0.085	10.4478	17
3252	P0C0S5_PF00125_4_94	5CHL_B	fpocket1	0.821	4.1307	16
3253	P0C0S8_PF00125_2_91	7E8D_C	fpocket1	0.0	13.0028	10
3254	P0C0S8_PF00125_2_91	7E8D_C	fpocket3	0.725	3.1654	14
3255	P0C1S8_PF00069_212_486	5VDK_A	fpocket4	0.218	44.6441	25
3256	P0C1S8_PF00069_212_486	5VDK_A	fpocket5	0.0	12.5056	21
3257	P0C7P0_PF09360_38_76	6AVJ_C	fpocket1	0.0	3.464	14
3258	P0C7P0_PF09360_38_76	6AVJ_C	fpocket2	0.577	3.0519	18
3259	P0C7P0_PF09360_81_114	6AVJ_C	fpocket1	0.029	2.368	18
3260	P0C7P0_PF09360_81_114	6AVJ_C	fpocket2	0.315	1.7054	15
3261	P0C870_PF13621_38_298	5NFO_A	fpocket1	0.622	29.6437	25
3262	P0C870_PF13621_38_298	5NFO_A	fpocket15	0.001	8.1308	12
3263	P0CE72_PF13499_41_108	1TTX_A	fpocket6	0.029	2.9843	17
3264	P0CE72_PF13499_41_108	1TTX_A	fpocket1	0.065	1.8038	16
3265	P0CF51_PF07654_13_95	4LFH_G	fpocket1	0.549	3.4478	18
3266	P0CF51_PF07654_13_95	4LFH_G	fpocket4	0.016	1.9332	11
3267	P0CG04_PF07654_9_94	2FB4_L	fpocket1	0.065	5.833	19
3268	P0CG04_PF07654_9_94	2FB4_L	fpocket4	0.003	2.0338	12
3269	P0CG29_PF00043_89_199	4MPF_A	fpocket2	0.599	6.7168	14
3270	P0CG29_PF00043_89_199	4MPF_A	fpocket11	0.0	5.6869	14
3271	P0CG29_PF02798_5_75	4MPF_A	fpocket1	0.009	2.4887	18
3272	P0CG29_PF02798_5_75	4MPF_A	fpocket5	0.052	1.89	16
3273	P0CG30_PF00043_86_199	4MPG_A	fpocket11	0.001	6.8077	13
3274	P0CG30_PF00043_86_199	4MPG_A	fpocket1	0.664	5.5758	14
3275	P0CG30_PF02798_5_75	4MPG_A	fpocket4	0.003	2.5467	16
3276	P0CG30_PF02798_5_75	4MPG_A	fpocket2	0.036	1.452	18
3277	P0CG47_PF00240_155_226	5NVG_A	fpocket1	0.501	2.3627	14
3278	P0CG47_PF00240_155_226	5NVG_A	fpocket3	0.144	1.5912	16
3279	P0CG47_PF00240_79_150	7S6O_B	fpocket2	0.003	1.9444	11
3280	P0CG47_PF00240_79_150	7S6O_B	fpocket4	0.004	1.5629	14
3281	P0CG48_PF00240_383_454	5B83_A	fpocket1	0.942	6.1989	24
3282	P0CG48_PF00240_383_454	5B83_A	fpocket2	0.007	3.2912	14
3283	P0CG48_PF00240_459_530	5H07_A	fpocket1	0.364	2.3016	14
3284	P0CG48_PF00240_459_530	5H07_A	fpocket4	0.004	1.2439	16
3285	P0CG48_PF00240_535_606	3B08_A	fpocket1	0.174	2.81	12
3286	P0CG48_PF00240_535_606	3B08_A	fpocket2	0.379	1.5498	17
3287	P0CG48_PF00240_611_682	6Q00_A	fpocket2	0.806	2.2831	15
3288	P0CG48_PF00240_611_682	6Q00_A	fpocket3	0.0	1.1676	9
3289	P0CJ85_PF00046_20_76	7DW5_A	fpocket4	0.004	3.6938	17
3290	P0CJ85_PF00046_20_76	7DW5_A	fpocket2	0.008	2.0167	16
3291	P0CJ85_PF00046_95_149	7DW5_A	fpocket1	0.045	9.6268	12
3292	P0DJD3_PF00076_10_79	2FY1_A	fpocket1	0.157	3.4905	12
3293	P0DJD3_PF00076_10_79	2FY1_A	fpocket2	0.018	2.3418	18
3294	P0DMM9_PF00685_38_288	2A3R_A	fpocket1	0.986	90.8195	24
3295	P0DMM9_PF00685_38_288	2A3R_A	fpocket14	0.137	10.0305	17
3296	P0DN86_PF00007_26_130	1HCN_B	fpocket6	0.305	5.8565	12
3297	P0DN86_PF00007_26_130	1HCN_B	fpocket1	0.001	2.9362	12
3298	P0DOX5_PF07654_127_209	6ARP_D	fpocket2	0.334	2.9637	17
3299	P0DOX5_PF07654_127_209	6ARP_D	fpocket1	0.054	1.7876	18
3300	P0DOX5_PF07654_242_330	6G1E_B	fpocket7	0.018	4.2409	15
3301	P0DOX5_PF07654_242_330	6G1E_B	fpocket6	0.521	2.8191	11
3302	P0DOX5_PF07654_350_434	5W5L_A	fpocket7	0.0	3.2978	11
3303	P0DOX5_PF07654_350_434	5W5L_A	fpocket4	0.0	2.2975	11
3304	P0DOX5_PF07686_9_118	6ARP_B	fpocket4	0.052	7.2224	16
3305	P0DOX5_PF07686_9_118	6ARP_B	fpocket1	0.317	6.6398	20
3306	P0DOX7_PF07654_115_201	6N35_K	fpocket1	0.315	3.6955	21
3307	P0DOX7_PF07654_115_201	6N35_K	fpocket5	0.003	2.9715	16
3308	P0DOX7_PF07686_6_107	6N35_K	fpocket2	0.286	8.9053	20
3309	P0DOX7_PF07686_6_107	6N35_K	fpocket5	0.133	5.276	13
3310	P0DOX8_PF07654_119_204	1MCE_A	fpocket5	0.006	4.6004	19
3311	P0DOX8_PF07654_119_204	1MCE_A	fpocket4	0.195	2.3766	15
3312	P0DOX8_PF07686_5_110	1MCE_A	fpocket5	0.0	6.2365	23
3313	P0DOX8_PF07686_5_110	1MCE_A	fpocket2	0.004	4.7364	16
3314	P0DOY2_PF07654_9_94	4LLD_B	fpocket1	0.02	2.3102	17
3315	P0DOY2_PF07654_9_94	4LLD_B	fpocket2	0.507	0.9442	14
3316	P0DOY3_PF07654_9_94	4O5L_L	fpocket1	0.016	2.7515	17
3317	P0DOY3_PF07654_9_94	4O5L_L	fpocket4	0.002	1.3141	13
3318	P0DP23_PF13499_10_74	4DJC_A	fpocket4	0.39	3.6991	15
3319	P0DP23_PF13499_10_74	4DJC_A	fpocket1	0.0	2.2967	17
3320	P0DP23_PF13499_83_147	4DJC_A	fpocket1	0.796	11.5001	16
3321	P0DP23_PF13499_83_147	4DJC_A	fpocket5	0.001	2.1689	11
3322	P0DP24_PF13499_10_74	6SZ5_A	fpocket1	0.391	7.9105	15
3323	P0DP24_PF13499_10_74	6SZ5_A	fpocket2	0.001	0.9996	15
3324	P0DP24_PF13499_83_147	6SZ5_A	fpocket1	0.814	9.8324	16
3325	P0DP25_PF13499_10_74	6K67_B	fpocket3	0.162	2.1321	17
3326	P0DP25_PF13499_10_74	6K67_B	fpocket1	0.147	1.6209	14
3327	P0DP25_PF13499_83_147	7BYL_B	fpocket2	0.753	2.9981	19
3328	P0DP25_PF13499_83_147	7BYL_B	fpocket4	0.002	1.7162	11
3329	P0DP57_PF00021_25_95	2N99_A	fpocket4	0.0	2.3953	14
3330	P0DP57_PF00021_25_95	2N99_A	fpocket1	0.303	2.1962	20
3331	P0DP58_PF00087_21_92	2L03_A	fpocket1	0.001	4.6595	14
3332	P0DP58_PF00087_21_92	2L03_A	fpocket5	0.01	2.3875	13
3333	P0DPB6_PF13656_39_113	7OB9_K	fpocket2	0.379	2.8011	12
3334	P0DPB6_PF13656_39_113	7OB9_K	fpocket1	0.572	2.4001	12
3335	P0DPD7_PF08241_63_173	2PXX_A	fpocket1	0.261	12.7881	18
3336	P0DPD7_PF08241_63_173	2PXX_A	fpocket5	0.014	5.6002	15
3337	P0DUB6_PF00128_52_348	3DHP_A	fpocket1	0.292	38.3772	21
3338	P0DUB6_PF00128_52_348	3DHP_A	fpocket17	0.008	10.4039	15
3339	P0DUB6_PF02806_421_508	3DHP_A	fpocket1	0.063	3.9855	16
3340	P0DUB6_PF02806_421_508	3DHP_A	fpocket2	0.344	2.6128	17
3341	P10074_PF00096_550_572	5YJ3_C	fpocket1	0.134	4.527	10
3342	P10074_PF00651_16_119	3B84_A	fpocket1	0.005	4.7411	19
3343	P10074_PF00651_16_119	3B84_A	fpocket5	0.024	2.5279	14
3344	P10109_PF00111_72_157	3P1M_B	fpocket7	0.426	7.7165	12
3345	P10109_PF00111_72_157	3P1M_B	fpocket4	0.012	3.844	15
3346	P10114_PF00071_5_166	1KAO_A	fpocket1	0.913	38.2647	21
3347	P10114_PF00071_5_166	1KAO_A	fpocket4	0.002	6.6275	18
3348	P10144_PF00089_21_240	1IAU_A	fpocket1	0.403	18.4825	19
3349	P10144_PF00089_21_240	1IAU_A	fpocket3	0.008	8.8498	16
3350	P10145_PF00048_32_92	4XDX_A	fpocket1	0.059	5.6849	16
3351	P10145_PF00048_32_92	4XDX_A	fpocket2	0.133	1.7595	12
3352	P10147_PF00048_31_88	3FPU_B	fpocket1	0.294	2.6963	10
3353	P10147_PF00048_31_88	3FPU_B	fpocket4	0.001	1.5824	12
3354	P10153_PF00074_33_158	1GQV_A	fpocket6	0.0	5.7261	16
3355	P10153_PF00074_33_158	1GQV_A	fpocket3	0.297	4.1038	13
3356	P10253_PF00088_82_130	5NN4_A	fpocket1	0.0	1.4112	10
3357	P10253_PF13802_254_320	5NN4_A	fpocket2	0.78	6.9012	23
3358	P10253_PF13802_254_320	5NN4_A	fpocket1	0.091	5.083	16
3359	P10253_PF16863_147_254	5NN4_A	fpocket2	0.02	4.5867	18
3360	P10253_PF16863_147_254	5NN4_A	fpocket6	0.002	1.666	16
3361	P10275_PF00104_690_881	4OHA_A	fpocket1	0.743	25.6078	21
3362	P10275_PF00104_690_881	4OHA_A	fpocket4	0.034	4.8298	19
3363	P10276_PF00104_224_401	3KMR_A	fpocket1	0.957	39.0975	22
3364	P10276_PF00104_224_401	3KMR_A	fpocket10	0.0	5.7806	12
3365	P10276_PF00105_86_155	1DSZ_A	fpocket1	0.0	3.7623	15
3366	P10276_PF00105_86_155	1DSZ_A	fpocket2	0.367	2.2101	18
3367	P10301_PF00071_31_192	2FN4_A	fpocket1	0.529	27.0143	21
3368	P10301_PF00071_31_192	2FN4_A	fpocket2	0.001	11.6352	21
3369	P10321_PF00129_25_203	6JTO_A	fpocket4	0.098	31.8457	15
3370	P10321_PF00129_25_203	6JTO_A	fpocket2	0.665	24.2959	21
3371	P10321_PF07654_211_290	6JTO_A	fpocket1	0.189	2.4666	19
3372	P10321_PF07654_211_290	6JTO_A	fpocket3	0.0	1.8409	10
3373	P10398_PF02196_20_89	1WXM_A	fpocket1	0.003	0.5413	12
3374	P10398_PF02196_20_89	1WXM_A	fpocket2	0.002	0.4823	15
3375	P10412_PF00538_37_108	7K5Y_U	fpocket3	0.632	2.8285	19
3376	P10412_PF00538_37_108	7K5Y_U	fpocket4	0.002	2.0491	15
3377	P10515_PF00198_417_647	6CT0_0	fpocket1	0.932	22.4666	18
3378	P10515_PF00198_417_647	6CT0_0	fpocket11	0.001	6.8621	18
3379	P10515_PF00364_219_293	3CRK_C	fpocket1	0.0	2.0969	13
3380	P10515_PF00364_219_293	3CRK_C	fpocket3	0.082	0.987	14
3381	P10515_PF00364_92_165	2DNE_A	fpocket2	0.719	7.9516	16
3382	P10515_PF00364_92_165	2DNE_A	fpocket1	0.0	1.7082	14
3383	P10586_PF00041_320_401	6TPV_A	fpocket1	0.006	3.1975	17
3384	P10586_PF00041_320_401	6TPV_A	fpocket2	0.111	0.8689	14
3385	P10586_PF00041_415_500	6TPV_A	fpocket1	0.004	2.9888	20
3386	P10586_PF00041_415_500	6TPV_A	fpocket2	0.005	2.6851	15
3387	P10586_PF00041_513_594	6TPU_A	fpocket5	0.006	4.0896	14
3388	P10586_PF00041_513_594	6TPU_A	fpocket4	0.0	1.321	11
3389	P10586_PF00041_608_696	4N5U_A	fpocket3	0.117	4.5167	18
3390	P10586_PF00041_608_696	4N5U_A	fpocket1	0.07	4.4278	14
3391	P10586_PF00041_823_903	2DN7_A	fpocket5	0.001	4.1907	14
3392	P10586_PF00041_823_903	2DN7_A	fpocket2	0.494	3.7313	21
3393	P10586_PF00041_917_1000	2EDY_A	fpocket3	0.023	5.6041	19
3394	P10586_PF00041_917_1000	2EDY_A	fpocket4	0.039	2.1625	17
3395	P10586_PF00102_1375_1606	1LAR_A	fpocket2	0.03	11.9854	18
3396	P10586_PF00102_1375_1606	1LAR_A	fpocket8	0.0	9.6662	16
3397	P10586_PF00102_1664_1897	1LAR_A	fpocket15	0.0	14.0068	20
3398	P10586_PF00102_1664_1897	1LAR_A	fpocket1	0.009	11.9882	21
3399	P10586_PF07679_135_225	2YD8_A	fpocket1	0.015	0.7055	12
3400	P10586_PF07679_33_124	2YD8_A	fpocket3	0.243	2.9548	15
3401	P10586_PF07679_33_124	2YD8_A	fpocket2	0.378	2.6679	12
3402	P10589_PF00105_84_153	2EBL_A	fpocket2	0.267	2.859	10
3403	P10589_PF00105_84_153	2EBL_A	fpocket1	0.004	2.3798	10
3404	P10599_PF00085_2_103	4OO4_A	fpocket3	0.121	3.219	21
3405	P10599_PF00085_2_103	4OO4_A	fpocket1	0.084	2.5372	15
3406	P10600_PF00019_314_411	1TGJ_A	fpocket2	0.002	3.6987	15
3407	P10600_PF00019_314_411	1TGJ_A	fpocket1	0.003	1.8016	13
3408	P10606_PF01215_8_128	5Z62_F	fpocket7	0.001	6.6912	16
3409	P10606_PF01215_8_128	5Z62_F	fpocket3	0.81	6.091	15
3410	P10619_PF00450_39_477	1IVY_A	fpocket1	0.972	38.5587	22
3411	P10619_PF00450_39_477	1IVY_A	fpocket8	0.0	16.7783	28
3412	P10632_PF00067_30_487	2NNJ_A	fpocket1	0.998	84.8519	16
3413	P10632_PF00067_30_487	2NNJ_A	fpocket35	0.027	32.1579	21
3414	P10635_PF00067_34_494	3TBG_A	fpocket33	0.926	112.5468	19
3415	P10635_PF00067_34_494	3TBG_A	fpocket32	0.004	30.8875	18
3416	P10643_PF00084_571_626	7NYC_C	fpocket1	0.282	1.3614	14
3417	P10643_PF00084_571_626	7NYC_C	fpocket2	0.001	1.0952	15
3418	P10643_PF00084_631_688	7NYC_C	fpocket1	0.355	6.8618	19
3419	P10643_PF00084_631_688	7NYC_C	fpocket2	0.0	2.5294	16
3420	P10643_PF00090_33_79	7NYC_C	fpocket2	0.501	3.1005	13
3421	P10643_PF00090_33_79	7NYC_C	fpocket1	0.016	2.2307	15
3422	P10643_PF00090_501_549	7NYC_C	fpocket2	0.004	1.7625	12
3423	P10643_PF00090_501_549	7NYC_C	fpocket1	0.0	1.2857	12
3424	P10643_PF01823_227_448	7NYC_C	fpocket7	0.0	8.6221	12
3425	P10643_PF01823_227_448	7NYC_C	fpocket1	0.001	5.9835	14
3426	P10643_PF18434_791_838	7NYC_C	fpocket1	0.257	1.9908	12
3427	P10643_PF18434_791_838	7NYC_C	fpocket2	0.0	1.6873	11
3428	P10644_PF00027_273_360	5KJZ_A	fpocket1	0.375	13.5497	19
3429	P10644_PF00027_273_360	5KJZ_A	fpocket3	0.0	2.4866	12
3430	P10646_PF00014_124_176	4DTG_K	fpocket1	0.017	1.7027	13
3431	P10646_PF00014_124_176	4DTG_K	fpocket2	0.0	0.8219	9
3432	P10646_PF00014_216_268	1IRH_A	fpocket1	0.007	3.0243	8
3433	P10646_PF00014_216_268	1IRH_A	fpocket2	0.002	1.1114	20
3434	P10646_PF00014_53_105	5NMV_K	fpocket1	0.091	1.5729	12
3435	P10720_PF00048_42_101	4HSV_A	fpocket2	0.004	5.2941	13
3436	P10720_PF00048_42_101	4HSV_A	fpocket1	0.089	4.131	18
3437	P10721_PF00047_216_305	2EC8_A	fpocket1	0.612	5.4739	18
3438	P10721_PF00047_216_305	2EC8_A	fpocket2	0.518	3.2896	19
3439	P10721_PF07714_589_924	3G0E_A	fpocket2	0.969	20.7299	21
3440	P10721_PF07714_589_924	3G0E_A	fpocket3	0.174	13.3082	19
3441	P10747_PF15910_23_139	1YJD_C	fpocket1	0.669	8.3347	22
3442	P10747_PF15910_23_139	1YJD_C	fpocket8	0.003	4.8066	13
