	domain	fpocket	druggability score	prank rescore	buriedness	min pLDDT
9473	P32926_PF00028_57_148	fpocket4	0.041	2.0704	12	93.18
9474	P32929_PF01053_19_395	fpocket1	0.68	11.3162	25	87.74
9475	P32929_PF01053_19_395	fpocket4	0.024	10.5952	20	97.42
9476	P32942_PF03921_29_119	fpocket1	0.441	2.444	16	81.09
9477	P32969_PF00347_12_87	fpocket1	0.001	2.4886	9	91.73
9478	P32969_PF00347_12_87	fpocket5	0.023	1.7285	15	88.84
9479	P32969_PF00347_99_178	fpocket1	0.002	2.2196	14	94.57
9480	P32969_PF00347_99_178	fpocket2	0.061	4.4292	17	90.36
9481	P32970_PF00229_73_191	fpocket11	0.203	21.763	19	83.89
9482	P32970_PF00229_73_191	fpocket8	0.0	4.3796	13	92.66
9483	P32971_PF00229_113_230	fpocket2	0.0	4.6814	16	83.1
9484	P32971_PF00229_113_230	fpocket4	0.003	11.0005	11	91.75
9485	P33076_PF05729_414_585	fpocket10	0.06	15.5101	12	81.02
9486	P33076_PF05729_414_585	fpocket3	0.766	10.9583	14	85.59
9487	P33121_PF13193_572_643	fpocket2	0.551	10.5067	18	94.41
9488	P33151_PF00028_156_249	fpocket1	0.118	8.7185	21	70.21
9489	P33151_PF00028_156_249	fpocket2	0.036	2.1397	13	95.35
9490	P33151_PF00028_263_364	fpocket1	0.374	5.9807	21	77.9
9491	P33151_PF00028_263_364	fpocket3	0.0	4.1392	13	81.62
9492	P33151_PF00028_377_470	fpocket1	0.019	4.7985	18	88.71
9493	P33151_PF00028_377_470	fpocket6	0.036	6.5341	14	83.41
9494	P33151_PF00028_483_576	fpocket2	0.339	4.4942	20	89.58
9495	P33151_PF00028_483_576	fpocket4	0.0	3.1611	18	89.15
9496	P33151_PF00028_52_142	fpocket1	0.326	2.9127	22	80.27
9497	P33151_PF00028_52_142	fpocket2	0.0	0.8163	14	71.91
9498	P33176_PF00225_14_325	fpocket1	0.367	10.509	16	91.52
9499	P33240_PF00076_18_88	fpocket1	0.0	1.775	12	89.15
9500	P33240_PF00076_18_88	fpocket2	0.21	2.7346	11	83.99
9501	P33240_PF14304_533_573	fpocket1	0.401	0.9682	13	78.16
9502	P33260_PF00067_30_487	fpocket41	0.986	40.7245	21	94.44
9503	P33260_PF00067_30_487	fpocket7	0.002	6.2452	14	86.48
9504	P33261_PF00067_30_487	fpocket16	0.994	40.1222	24	89.92
9505	P33261_PF00067_30_487	fpocket3	0.002	9.2984	18	85.92
9506	P33316_PF00692_121_250	fpocket2	0.003	3.5975	11	93.85
9507	P33316_PF00692_121_250	fpocket6	0.032	4.7105	18	92.01
9508	P33402_PF00211_512_699	fpocket11	0.053	3.6151	11	92.44
9509	P33402_PF00211_512_699	fpocket2	0.338	7.5463	23	70.95
9510	P33402_PF07701_316_506	fpocket2	0.088	7.0969	20	90.52
9511	P33527_PF00005_1310_1458	fpocket11	0.015	15.357	16	91.09
9512	P33527_PF00005_1310_1458	fpocket4	0.009	12.0922	16	85.02
9513	P33527_PF00005_661_796	fpocket5	0.009	10.6234	15	86.54
9514	P33527_PF00005_661_796	fpocket6	0.001	30.9797	19	90.51
9515	P33552_PF01111_6_73	fpocket1	0.067	1.9334	10	91.08
9516	P33552_PF01111_6_73	fpocket3	0.003	2.1669	12	91.05
9517	P33681_PF07686_36_135	fpocket1	0.024	3.5286	18	96.53
9518	P33681_PF07686_36_135	fpocket3	0.0	1.3815	11	93.38
9519	P33681_PF08205_141_227	fpocket1	0.002	4.6429	17	98.06
9520	P33681_PF08205_141_227	fpocket2	0.0	2.4194	16	97.07
9521	P33763_PF01023_5_43	fpocket1	0.567	1.6852	10	92.58
9522	P33763_PF01023_5_43	fpocket2	0.047	4.3486	17	89.82
9523	P33764_PF01023_5_49	fpocket1	0.88	6.1514	15	89.2
9524	P33764_PF01023_5_49	fpocket4	0.501	2.7203	9	93.46
9525	P33778_PF00125_2_102	fpocket10	0.083	6.4621	13	93.01
9526	P33778_PF00125_2_102	fpocket2	0.941	7.3834	17	92.28
9527	P33897_PF00005_490_633	fpocket13	0.003	7.5665	14	84.15
9528	P33897_PF00005_490_633	fpocket14	0.043	30.99	18	90.07
9529	P33981_PF00069_525_791	fpocket2	0.356	14.0348	15	93.73
9530	P33981_PF00069_525_791	fpocket3	0.037	14.4023	21	84.72
9531	P33991_PF00493_445_670	fpocket16	0.198	5.1141	13	79.11
9532	P33991_PF00493_445_670	fpocket2	0.002	5.3028	18	75.93
9533	P33991_PF17207_270_398	fpocket3	0.403	6.1161	19	84.4
9534	P33991_PF17207_270_398	fpocket9	0.01	7.1883	12	89.15
9535	P33991_PF17855_685_769	fpocket3	0.699	8.0988	16	80.63
9536	P33992_PF00493_318_540	fpocket17	0.041	11.3533	15	85.81
9537	P33992_PF00493_318_540	fpocket6	0.839	14.3103	14	84.19
9538	P33992_PF14551_32_130	fpocket3	0.075	2.097	11	79.04
9539	P33992_PF17855_557_648	fpocket3	0.305	5.4589	17	81.48
9540	P33993_PF00493_320_541	fpocket1	0.0	7.1619	17	79.02
9541	P33993_PF00493_320_541	fpocket5	0.407	8.7006	18	79.02
9542	P33993_PF14551_10_140	fpocket6	0.057	4.0786	15	72.59
9543	P33993_PF17207_148_281	fpocket11	0.153	5.2629	13	75.13
9544	P33993_PF17207_148_281	fpocket6	0.138	9.5628	17	85.19
9545	P33993_PF17855_557_641	fpocket4	0.309	2.6068	16	83.4
9546	P34059_PF14707_378_509	fpocket2	0.006	10.2084	17	97.47
9547	P34059_PF14707_378_509	fpocket5	0.009	7.533	7	98.21
9548	P34096_PF00074_31_146	fpocket1	0.062	10.3743	17	97.15
9549	P34096_PF00074_31_146	fpocket3	0.032	6.1682	15	96.38
9550	P34130_PF00243_89_208	fpocket1	0.002	2.5206	13	96.11
9551	P34130_PF00243_89_208	fpocket4	0.0	2.9571	13	95.97
9552	P34820_PF00019_300_401	fpocket2	0.735	14.0866	15	86.49
9553	P34820_PF00019_300_401	fpocket5	0.012	3.9949	13	89.74
9554	P34896_PF00464_26_425	fpocket1	0.016	10.1429	23	95.78
9555	P34896_PF00464_26_425	fpocket3	0.001	9.4195	15	98.08
9556	P34897_PF00464_49_448	fpocket1	0.007	14.8195	20	97.15
9557	P34897_PF00464_49_448	fpocket11	0.082	9.8873	18	75.39
9558	P34913_PF00561_259_531	fpocket1	0.879	28.8711	23	89.19
9559	P34913_PF00561_259_531	fpocket11	0.077	20.4262	20	92.77
9560	P34913_PF00702_3_197	fpocket2	0.495	11.3089	23	73.57
9561	P34913_PF00702_3_197	fpocket3	0.512	13.6108	18	73.57
9562	P34925_PF07714_330_596	fpocket1	0.635	7.2035	25	96.02
9563	P34925_PF07714_330_596	fpocket9	0.0	5.5275	12	95.05
9564	P34947_PF00069_186_448	fpocket1	0.043	7.1527	20	92.49
9565	P34947_PF00069_186_448	fpocket8	0.157	11.1107	18	82.58
9566	P34947_PF00615_52_170	fpocket1	0.002	6.429	17	93.8
9567	P34947_PF00615_52_170	fpocket6	0.001	4.3522	15	91.95
9568	P35030_PF00089_81_296	fpocket2	0.0	5.172	24	87.68
9569	P35030_PF00089_81_296	fpocket3	0.339	5.2945	15	91.13
9570	P35080_PF00235_2_140	fpocket1	0.352	5.3263	11	96.65
9571	P35080_PF00235_2_140	fpocket4	0.001	2.6936	13	88.09
9572	P35218_PF00194_44_296	fpocket1	0.006	9.8072	22	85.79
9573	P35219_PF00194_32_289	fpocket11	0.018	16.59	18	72.91
9574	P35219_PF00194_32_289	fpocket2	0.006	4.1726	19	94.01
9575	P35225_PF03487_16_144	fpocket1	0.045	8.4379	18	73.01
9576	P35225_PF03487_16_144	fpocket7	0.001	3.8303	16	76.24
9577	P35226_PF16207_162_226	fpocket4	0.045	13.9827	18	89.4
9578	P35226_PF16207_162_226	fpocket6	0.281	6.5015	16	93.97
9579	P35227_PF16207_164_228	fpocket5	0.017	16.3646	18	84.52
9580	P35227_PF16207_164_228	fpocket6	0.28	6.2893	13	93.09
9581	P35228_PF00175_979_1093	fpocket1	0.009	13.2941	14	82.59
9582	P35228_PF00175_979_1093	fpocket2	0.239	8.0123	20	80.83
9583	P35228_PF00258_541_672	fpocket8	0.008	5.4782	21	84.06
9584	P35228_PF00667_725_947	fpocket13	0.06	14.8497	14	83.45
9585	P35228_PF00667_725_947	fpocket8	0.676	26.1298	17	90.54
9586	P35228_PF02898_135_497	fpocket1	0.966	33.1653	18	92.23
9587	P35228_PF02898_135_497	fpocket25	0.002	26.3496	17	91.5
9588	P35236_PF00102_119_349	fpocket1	0.824	6.0538	14	97.85
9589	P35240_PF00373_104_222	fpocket1	0.858	4.0265	15	91.93
9590	P35240_PF00373_104_222	fpocket6	0.001	4.7025	13	93.05
9591	P35240_PF09379_26_87	fpocket1	0.025	9.2303	15	88.29
9592	P35240_PF09379_26_87	fpocket3	0.536	10.1316	15	92.8
9593	P35240_PF09380_226_315	fpocket3	0.106	7.6155	18	86.49
9594	P35240_PF09380_226_315	fpocket4	0.001	5.5183	13	85.03
9595	P35241_PF00373_88_206	fpocket6	0.013	4.8879	19	97.03
9596	P35241_PF00373_88_206	fpocket7	0.0	3.8338	11	96.95
9597	P35241_PF09379_9_71	fpocket2	0.426	16.7868	18	95.5
9598	P35241_PF09379_9_71	fpocket3	0.0	2.6885	10	95.95
9599	P35241_PF09380_210_299	fpocket2	0.085	5.2857	15	91.16
9600	P35241_PF09380_210_299	fpocket6	0.141	12.1273	16	90.67
9601	P35243_PF13499_99_177	fpocket1	0.797	2.1245	11	90.61
9602	P35243_PF13499_99_177	fpocket3	0.207	5.3127	14	89.57
9603	P35243_PF13833_40_93	fpocket2	0.004	3.2705	16	83.43
9604	P35244_PF08661_5_113	fpocket1	0.0	1.8204	15	74.32
9605	P35244_PF08661_5_113	fpocket3	0.002	1.9967	14	88.51
9606	P35247_PF00059_271_375	fpocket1	0.104	5.9697	15	98.19
9607	P35247_PF00059_271_375	fpocket4	0.022	1.2701	16	97.02
9608	P35249_PF00004_74_202	fpocket2	0.698	5.9965	18	85.46
9609	P35249_PF00004_74_202	fpocket9	0.009	5.7455	15	85.32
9610	P35249_PF08542_269_354	fpocket1	0.164	10.9966	18	81.59
9611	P35249_PF08542_269_354	fpocket4	0.046	3.7976	15	91.0
9612	P35250_PF00004_72_193	fpocket1	0.815	7.6997	18	88.99
9613	P35250_PF00004_72_193	fpocket6	0.0	4.0784	22	87.43
9614	P35250_PF08542_258_343	fpocket1	0.644	2.0147	23	89.04
9615	P35250_PF08542_258_343	fpocket2	0.0	2.1625	13	86.4
9616	P35251_PF00004_647_776	fpocket14	0.389	7.9129	20	90.46
9617	P35251_PF00004_647_776	fpocket4	0.0	5.5127	14	85.53
9618	P35251_PF08519_915_1068	fpocket3	0.0	4.2704	17	80.94
9619	P35251_PF08519_915_1068	fpocket5	0.077	3.8343	11	81.47
9620	P35270_PF00106_8_214	fpocket11	0.007	7.8668	10	95.18
9621	P35270_PF00106_8_214	fpocket13	0.355	26.1275	21	96.63
9622	P35354_PF00008_21_53	fpocket1	0.435	3.196	10	92.44
9623	P35354_PF00008_21_53	fpocket2	0.0	1.0896	8	89.15
9624	P35354_PF03098_198_560	fpocket25	0.586	26.5067	16	96.84
9625	P35354_PF03098_198_560	fpocket4	0.829	18.9506	24	94.82
9626	P35398_PF00104_308_494	fpocket10	0.0	5.6024	19	92.28
9627	P35398_PF00104_308_494	fpocket3	0.9	28.2128	22	94.81
9628	P35398_PF00105_71_140	fpocket1	0.654	4.0548	12	88.88
9629	P35398_PF00105_71_140	fpocket2	0.0	1.2184	10	92.9
9630	P35442_PF00090_385_430	fpocket2	0.095	1.0037	14	75.79
9631	P35442_PF00090_441_491	fpocket1	0.309	5.1466	15	74.75
9632	P35442_PF00090_498_548	fpocket1	0.696	6.144	18	71.86
9633	P35442_PF02412_729_764	fpocket1	0.106	2.0854	7	96.71
9634	P35442_PF02412_788_823	fpocket1	0.073	0.8705	11	95.08
9635	P35442_PF02412_823_846	fpocket1	0.062	2.5186	10	94.5
9636	P35442_PF02412_847_884	fpocket1	0.001	1.7654	11	94.32
9637	P35442_PF02412_847_884	fpocket2	0.232	2.4934	9	93.67
9638	P35442_PF02412_921_956	fpocket1	0.234	0.8633	8	89.7
9639	P35442_PF07645_590_646	fpocket2	0.0	1.4039	8	91.01
9640	P35442_PF12947_652_691	fpocket2	0.158	4.4703	11	90.14
9641	P35442_PF12947_652_691	fpocket3	0.01	4.5449	16	90.14
9642	P35443_PF02412_555_590	fpocket1	0.001	1.3891	16	93.48
9643	P35443_PF02412_590_613	fpocket1	0.101	2.6574	10	96.01
9644	P35443_PF02412_652_691	fpocket1	0.279	1.5861	10	95.43
9645	P35443_PF02412_652_691	fpocket2	0.001	1.2756	12	94.31
9646	P35443_PF02412_692_727	fpocket1	0.028	0.953	10	93.3
9647	P35443_PF02412_692_727	fpocket2	0.206	1.3626	9	93.63
9648	P35443_PF07645_326_377	fpocket1	0.259	5.5772	14	86.51
9649	P35443_PF07645_326_377	fpocket2	0.656	3.1034	13	85.87
9650	P35443_PF07645_379_422	fpocket1	0.216	2.1823	10	75.46
9651	P35452_PF00046_203_259	fpocket2	0.002	4.7492	11	85.93
9652	P35452_PF00046_203_259	fpocket4	0.017	3.5127	11	98.08
9653	P35453_PF00046_277_333	fpocket1	0.332	1.2719	16	96.38
9654	P35453_PF00046_277_333	fpocket3	0.115	1.4444	12	96.39
9655	P35520_PF00571_414_470	fpocket1	0.109	4.5159	16	90.41
9656	P35548_PF00046_143_199	fpocket1	0.001	1.1528	17	98.25
9657	P35548_PF00046_143_199	fpocket2	0.031	0.5941	13	98.14
9658	P35557_PF00349_15_215	fpocket14	0.534	11.5161	17	76.94
9659	P35557_PF03727_221_455	fpocket1	0.049	8.0551	17	80.51
9660	P35557_PF03727_221_455	fpocket12	0.619	7.7007	17	97.82
9661	P35558_PF00821_260_618	fpocket1	0.91	32.8635	22	84.98
9662	P35558_PF00821_260_618	fpocket8	0.013	10.184	16	98.25
9663	P35558_PF17297_29_256	fpocket13	0.103	9.8287	17	98.28
9664	P35558_PF17297_29_256	fpocket4	0.008	5.1305	17	96.6
9665	P35568_PF00169_7_114	fpocket3	0.366	6.423	17	93.55
9666	P35568_PF00169_7_114	fpocket4	0.423	5.6911	16	93.55
9667	P35568_PF02174_160_262	fpocket1	0.471	2.4233	13	76.96
9668	P35568_PF02174_160_262	fpocket5	0.0	1.3788	9	97.06
9669	P35573_PF14701_120_551	fpocket2	0.702	17.1836	15	86.32
9670	P35573_PF14701_120_551	fpocket3	0.719	13.0643	16	86.32
9671	P35573_PF14702_697_974	fpocket23	0.807	7.8969	11	95.08
9672	P35573_PF14702_697_974	fpocket6	0.551	7.2706	13	89.25
9673	P35579_PF00063_83_764	fpocket51	0.977	13.2983	14	74.61
9674	P35579_PF02736_27_72	fpocket4	0.409	4.1783	10	82.22
9675	P35579_PF02736_27_72	fpocket6	0.003	3.5803	10	75.16
9676	P35580_PF00063_87_771	fpocket1	0.989	19.5747	17	80.19
9677	P35580_PF02736_31_76	fpocket1	0.443	5.868	10	85.69
9678	P35580_PF02736_31_76	fpocket4	0.001	5.068	10	78.02
9679	P35590_PF00041_448_533	fpocket2	0.001	3.0655	21	78.44
9680	P35590_PF00041_448_533	fpocket6	0.001	2.4324	13	72.28
9681	P35590_PF00041_548_632	fpocket6	0.204	6.0436	14	86.47
9682	P35590_PF00041_548_632	fpocket8	0.002	4.1763	16	74.02
9683	P35590_PF00047_129_210	fpocket1	0.458	6.9425	19	79.29
9684	P35590_PF00047_129_210	fpocket2	0.003	1.4808	18	91.26
9685	P35590_PF00047_356_441	fpocket2	0.004	3.1852	15	79.97
9686	P35590_PF07714_839_1107	fpocket16	0.013	15.7472	21	78.56
9687	P35609_PF00307_151_258	fpocket1	0.345	8.653	16	72.21
9688	P35609_PF00307_151_258	fpocket4	0.0	1.9968	9	88.68
9689	P35609_PF00307_38_143	fpocket2	0.056	3.1376	12	76.06
9690	P35609_PF00307_38_143	fpocket4	0.041	6.126	10	89.02
9691	P35609_PF00435_281_391	fpocket1	0.0	1.4194	12	88.51
9692	P35609_PF00435_281_391	fpocket2	0.35	5.1483	11	90.47
9693	P35609_PF00435_401_506	fpocket10	0.0	2.5874	15	93.37
9694	P35609_PF00435_401_506	fpocket9	0.001	3.6381	10	88.98
9695	P35609_PF00435_516_627	fpocket1	0.265	3.3014	19	88.42
9696	P35609_PF00435_637_740	fpocket1	0.312	5.0507	18	83.11
9697	P35609_PF00435_637_740	fpocket5	0.0	3.8037	7	92.88
9698	P35609_PF08726_824_890	fpocket1	0.0	0.2446	7	82.53
9699	P35612_PF00596_135_317	fpocket10	0.36	5.3597	11	93.38
9700	P35613_PF13927_220_305	fpocket1	0.106	10.3725	16	94.05
9701	P35613_PF13927_220_305	fpocket3	0.002	4.1824	14	85.77
9702	P35613_PF13927_25_112	fpocket1	0.065	4.5701	18	94.04
9703	P35613_PF13927_25_112	fpocket7	0.0	4.0133	5	93.19
9704	P35625_PF00965_22_194	fpocket3	0.004	7.3099	13	90.59
9705	P35626_PF00069_191_453	fpocket1	0.146	13.0525	20	86.55
9706	P35626_PF00069_191_453	fpocket6	0.0	8.0978	20	92.03
9707	P35626_PF00615_54_174	fpocket1	0.083	4.1678	13	86.82
9708	P35637_PF00076_287_365	fpocket1	0.051	1.695	12	80.12
9709	P35637_PF00076_287_365	fpocket2	0.052	2.3962	14	82.67
9710	P35637_PF00641_422_453	fpocket2	0.0	1.6242	11	88.29
9711	P35637_PF00641_422_453	fpocket3	0.017	7.0099	8	72.02
9712	P35670_PF00403_146_207	fpocket1	0.041	4.3115	10	86.02
9713	P35670_PF00403_146_207	fpocket3	0.295	1.7889	17	86.02
9714	P35670_PF00403_362_423	fpocket1	0.395	4.9717	13	78.49
9715	P35670_PF00403_491_552	fpocket1	0.289	2.9934	14	80.96
9716	P35670_PF00403_491_552	fpocket3	0.002	0.9064	12	72.03
9717	P35670_PF00403_567_628	fpocket1	0.006	1.2021	13	80.78
9718	P35670_PF00403_567_628	fpocket2	0.0	3.1661	13	86.81
9719	P35670_PF00403_61_122	fpocket1	0.735	1.7383	13	80.24
9720	P35670_PF00403_61_122	fpocket2	0.02	4.2537	13	82.55
9721	P35670_PF00702_1021_1279	fpocket2	0.855	14.0405	21	76.42
9722	P35670_PF00702_1021_1279	fpocket8	0.0	7.7293	18	71.65
9723	P35711_PF00505_556_624	fpocket1	0.079	2.2014	14	91.67
9724	P35711_PF00505_556_624	fpocket2	0.252	4.0285	12	96.51
9725	P35712_PF00505_621_689	fpocket1	0.343	1.8702	10	93.47
9726	P35712_PF00505_621_689	fpocket2	0.108	1.0812	15	91.52
9727	P35713_PF00505_85_153	fpocket3	0.397	1.6472	15	96.42
9728	P35713_PF00505_85_153	fpocket5	0.013	1.7189	10	95.07
9729	P35716_PF00505_49_117	fpocket2	0.004	2.2192	13	94.29
9730	P35716_PF00505_49_117	fpocket5	0.009	4.1602	10	95.3
9731	P35749_PF00063_87_771	fpocket6	0.017	17.6965	20	80.78
9732	P35749_PF02736_31_76	fpocket2	0.443	4.3062	10	83.77
9733	P35749_PF02736_31_76	fpocket4	0.008	4.3004	10	80.96
9734	P35754_PF00462_15_80	fpocket1	0.322	4.3519	13	90.18
9735	P35754_PF00462_15_80	fpocket3	0.023	3.7337	11	97.29
9736	P35789_PF00096_229_251	fpocket1	0.157	1.1997	12	84.51
9737	P35789_PF00096_229_251	fpocket2	0.005	1.0097	9	87.22
9738	P35789_PF00096_341_363	fpocket1	0.055	3.7399	13	85.32
9739	P35789_PF00096_341_363	fpocket3	0.23	2.3859	9	84.57
9740	P35789_PF00096_593_615	fpocket1	0.392	2.5439	11	81.09
9741	P35813_PF07830_285_363	fpocket1	0.31	1.7789	11	95.72
9742	P35813_PF07830_285_363	fpocket3	0.003	1.1081	16	95.72
9743	P35869_PF00010_35_80	fpocket1	0.099	2.8566	10	92.68
9744	P35869_PF00010_35_80	fpocket3	0.24	2.2791	16	92.15
9745	P35869_PF00989_113_227	fpocket6	0.011	6.926	13	91.21
9746	P35869_PF08447_297_383	fpocket1	0.0	2.2353	13	85.79
9747	P35869_PF08447_297_383	fpocket2	0.036	40.393	22	86.53
9748	P35913_PF00233_556_800	fpocket18	0.002	31.1657	21	92.04
9749	P35913_PF00233_556_800	fpocket4	0.168	23.9146	20	93.91
9750	P35913_PF01590_252_429	fpocket1	0.458	5.6953	13	91.1
9751	P35913_PF01590_252_429	fpocket10	0.0	3.893	13	79.41
9752	P35913_PF01590_71_217	fpocket1	0.852	10.6088	26	91.69
9753	P35913_PF01590_71_217	fpocket2	0.0	4.3208	16	92.34
9754	P35914_PF00682_32_306	fpocket1	0.013	28.0476	21	75.75
9755	P35914_PF00682_32_306	fpocket17	0.012	8.9779	10	85.22
9756	P35916_PF07679_678_765	fpocket3	0.0	2.0749	12	75.92
9757	P35916_PF13927_231_314	fpocket1	0.271	6.6261	16	83.24
9758	P35916_PF13927_231_314	fpocket5	0.002	3.5568	11	75.9
9759	P35916_PF13927_559_657	fpocket1	0.222	7.0758	14	76.28
9760	P35916_PF13927_559_657	fpocket3	0.026	3.4481	14	83.69
9761	P35968_PF07679_333_417	fpocket2	0.168	2.5942	19	81.38
9762	P35968_PF07679_333_417	fpocket3	0.102	2.2593	17	86.43
9763	P35968_PF07679_667_754	fpocket1	0.002	1.5824	17	74.41
9764	P35968_PF07679_667_754	fpocket3	0.191	1.8572	10	78.04
9765	P35968_PF13927_226_311	fpocket1	0.091	7.244	17	80.59
9766	P35968_PF13927_226_311	fpocket2	0.001	1.7601	14	81.71
9767	P35968_PF13927_550_646	fpocket2	0.04	4.138	10	85.95
9768	P35968_PF17988_759_793	fpocket1	0.668	7.6806	9	78.23
9769	P35968_PF17988_759_793	fpocket5	0.083	7.6471	9	76.45
9770	P35998_PF00004_212_345	fpocket1	0.648	9.3314	14	77.76
9771	P35998_PF00004_212_345	fpocket5	0.0	5.9098	15	83.18
9772	P35998_PF17862_367_411	fpocket1	0.01	4.7931	16	84.92
9773	P35998_PF17862_367_411	fpocket5	0.688	9.0211	18	84.92
9774	P36222_PF00704_23_357	fpocket10	0.135	55.7703	21	95.9
9775	P36222_PF00704_23_357	fpocket23	0.006	8.8942	18	98.51
9776	P36268_PF01019_55_564	fpocket1	0.929	11.1652	24	94.13
9777	P36383_PF00029_2_255	fpocket5	0.103	11.0176	17	89.24
9778	P36402_PF00505_269_337	fpocket1	0.028	3.3445	16	94.48
9779	P36404_PF00025_3_176	fpocket1	0.038	5.924	20	95.66
9780	P36404_PF00025_3_176	fpocket4	0.0	4.5711	15	89.38
9781	P36405_PF00025_3_177	fpocket1	0.379	9.0744	19	94.16
9782	P36405_PF00025_3_177	fpocket4	0.002	3.9881	15	79.65
9783	P36406_PF00025_391_565	fpocket2	0.138	5.5391	21	72.54
9784	P36406_PF00025_391_565	fpocket6	0.157	4.6318	20	72.54
9785	P36406_PF00643_123_168	fpocket1	0.014	1.2734	13	85.94
9786	P36406_PF00643_123_168	fpocket2	0.229	2.4765	14	81.95
9787	P36508_PF00096_285_309	fpocket1	0.069	2.0227	11	88.76
9788	P36542_PF00231_27_297	fpocket1	0.36	8.666	14	93.76
9789	P36542_PF00231_27_297	fpocket8	0.038	9.6255	13	92.99
9790	P36575_PF02752_190_353	fpocket3	0.013	4.2581	14	77.51
9791	P36575_PF02752_190_353	fpocket8	0.178	4.8205	15	81.3
9792	P36578_PF14374_275_349	fpocket1	0.601	2.8084	14	92.47
9793	P36578_PF14374_275_349	fpocket2	0.455	1.5464	11	92.47
9794	P36639_PF00293_45_168	fpocket2	0.094	27.4988	17	92.58
9795	P36639_PF00293_45_168	fpocket5	0.003	2.3864	16	97.99
9796	P36776_PF00004_519_661	fpocket1	0.0	5.5436	19	84.31
9797	P36776_PF00004_519_661	fpocket8	0.001	2.912	12	83.35
9798	P36776_PF05362_736_949	fpocket7	0.036	8.9559	16	70.78
9799	P36871_PF02878_14_158	fpocket4	0.0	4.1961	14	75.18
9800	P36871_PF02878_14_158	fpocket9	0.0	3.4765	17	75.18
9801	P36871_PF02879_193_301	fpocket1	0.296	14.5503	15	98.59
9802	P36871_PF02879_193_301	fpocket9	0.017	9.6896	14	98.74
9803	P36871_PF02880_306_420	fpocket3	0.002	2.673	11	98.57
9804	P36871_PF02880_306_420	fpocket4	0.191	6.2908	16	96.07
9805	P36873_PF00149_57_252	fpocket1	0.001	12.8491	19	95.3
9806	P36873_PF00149_57_252	fpocket12	0.441	8.8879	20	98.16
9807	P36888_PF00047_255_345	fpocket1	0.023	3.7723	16	89.36
9808	P36888_PF00047_255_345	fpocket3	0.004	4.2001	16	85.6
9809	P36894_PF01064_59_134	fpocket1	0.095	6.4059	13	82.48
9810	P36894_PF01064_59_134	fpocket6	0.004	2.2606	17	81.3
9811	P36894_PF07714_234_521	fpocket11	0.002	11.9089	15	75.38
9812	P36894_PF07714_234_521	fpocket8	0.068	16.1564	23	73.35
9813	P36896_PF00069_207_494	fpocket2	0.967	19.4569	22	94.06
9814	P36896_PF00069_207_494	fpocket3	0.834	14.009	26	72.8
9815	P36896_PF01064_32_105	fpocket1	0.428	2.0087	16	82.65
9816	P36896_PF01064_32_105	fpocket3	0.18	2.5382	13	79.58
9817	P36897_PF00069_205_492	fpocket19	0.075	8.3576	20	96.61
9818	P36897_PF00069_205_492	fpocket2	0.894	14.4481	27	73.42
9819	P36897_PF01064_34_110	fpocket1	0.369	1.6323	13	82.22
9820	P36897_PF01064_34_110	fpocket2	0.086	1.7054	10	82.22
9821	P36941_PF00020_163_210	fpocket1	0.434	10.0756	14	74.87
9822	P36941_PF00020_163_210	fpocket2	0.0	3.2715	14	93.29
9823	P36941_PF00020_43_80	fpocket1	0.272	2.5828	13	95.0
9824	P36941_PF00020_43_80	fpocket2	0.003	1.6071	11	92.83
9825	P36941_PF00020_83_124	fpocket3	0.216	2.9244	12	93.37
9826	P36941_PF00020_83_124	fpocket5	0.037	5.0776	7	95.26
9827	P36952_PF00079_6_375	fpocket1	0.005	5.4105	20	90.84
9828	P36952_PF00079_6_375	fpocket3	0.071	5.6188	24	93.98
9829	P36954_PF01096_84_124	fpocket1	0.372	2.8814	10	88.77
9830	P36954_PF01096_84_124	fpocket2	0.383	3.5835	12	88.24
9831	P36954_PF02150_14_51	fpocket1	0.0	0.6568	13	94.25
9832	P36954_PF02150_14_51	fpocket2	0.135	0.4185	10	93.4
9833	P36955_PF00079_56_415	fpocket24	0.004	6.7603	16	93.75
9834	P36955_PF00079_56_415	fpocket4	0.334	10.0527	20	94.35
9835	P36956_PF00010_324_374	fpocket5	0.015	1.6498	10	87.67
9836	P36957_PF00198_220_451	fpocket12	0.004	11.7895	18	85.52
9837	P36957_PF00198_220_451	fpocket6	0.163	12.2511	16	89.26
9838	P36957_PF00364_71_143	fpocket1	0.023	1.3845	13	74.89
9839	P36957_PF00364_71_143	fpocket2	0.008	0.6912	11	77.7
9840	P36959_PF00478_9_342	fpocket16	0.004	9.1985	13	89.23
9841	P36959_PF00478_9_342	fpocket17	0.0	25.998	19	81.33
9842	P36980_PF00084_149_203	fpocket1	0.036	1.277	12	97.36
9843	P36980_PF00084_149_203	fpocket2	0.001	1.0467	11	97.09
9844	P36980_PF00084_207_267	fpocket1	0.161	2.0025	16	89.04
9845	P36980_PF00084_207_267	fpocket2	0.005	2.1634	14	90.45
9846	P36980_PF00084_23_83	fpocket5	0.0	3.247	16	92.41
9847	P36980_PF00084_23_83	fpocket6	0.009	8.1464	11	89.44
9848	P36980_PF00084_87_140	fpocket1	0.0	1.9891	16	77.71
9849	P36980_PF00084_87_140	fpocket3	0.083	1.6878	12	88.95
9850	P37023_PF07714_202_489	fpocket20	0.014	9.6294	23	86.95
